,well_id,front_cutoff,back_cutoff
0,KWR-1,0,128
0,KFR-XE1S,0,0
0,KHT-XE4S,0,0
0,EWR-1,1,24
0,EET-2,1,0
0,KWT-1,2318,2
0,KWR-1,8,2
0,EHT-XA5S,0,2385
0,EHT-XA5S,0,8
0,KWF-1,1,0
0,EEF-1,1,3
0,EWR-1,0,136
0,KHT-XE5S,144,9
0,KWR-1,1,0
0,EET-1,0,6
0,EHF-XA3S,2,23
0,EHR-1,0,135
0,KEF-1,0,0
0,EWT-1,0,0
0,KER-1,0,0
0,EHR-1,1,28
0,KEF-1,150,2
0,EWR-1,0,9
0,LHT-1,0,3
0,KER-1,0,0
0,KHF-1,0,0
0,KEF-1,6,0
0,KWF-1,0,0
0,EEF-1,3,23
0,KHF-1,150,0
0,KEF-1,0,0
0,EER-1,0,24
0,KER-1,0,2
0,EER-1,0,8
0,EWF-XA2S,0,8
0,EEF-1,0,141
0,KWR-1,77,2
0,KHT-XE5S,0,2
0,KWR-1,0,0
0,KFR-XE1S,0,0
0,KET-1,121,4
0,EER-1,0,137
0,KEF-1,79,126
0,EEF-1,0,9
0,KHT-XE5S,0,0
0,KHF-1,0,0
0,EWR-1,0,2
0,EWT-1,0,0
0,KWF-1,0,0
0,KWT-1,4,2
