well_id,datetime,LAI.sensor,LAI.rmWAI,LAI.halfWAI,WAI,correctWillow,correctLastWillow,abovePAR,belowPAR,T,Fb,X
EHR-1,7/12/25 11:14,1.46,1.46,1.46,NA,FALSE,FALSE,1790.6,791.9,0.441,0.91,1.41
EWR-1,7/12/25 11:28,4.12,2.35,3.24,1.77,TRUE,FALSE,1815.2,227.2,0.125,0.91,1
EER-1,7/12/25 11:35,2.2,2.2,2.2,NA,FALSE,FALSE,1869.5,647.9,0.346,0.91,0.93
EWT-2,7/12/25 11:55,4.36,2.88,3.62,1.48,TRUE,FALSE,1872.1,215.8,0.115,0.91,1
EET-1,7/12/25 12:04,1.45,1.45,1.45,NA,FALSE,FALSE,1960.8,970,0.495,0.91,0.9
EHT-XC5S,7/12/25 12:15,0.19,0.19,0.19,NA,FALSE,FALSE,1943.6,1755.2,0.904,0.91,0.96
EWT-1,7/12/25 12:34,3.17,1.96,2.56,1.21,TRUE,FALSE,1942.2,477.9,0.246,0.91,1
EHT-XA5S,7/12/25 12:43,0.45,0.45,0.45,NA,FALSE,FALSE,1986,1595.3,0.804,0.91,0.93
EET-2,7/12/25 12:55,0.52,0.52,0.52,NA,FALSE,FALSE,1991.9,1543.4,0.775,0.91,0.93
KHR-1,7/12/25 13:35,1.53,1.53,1.53,NA,FALSE,FALSE,2013.6,977.5,0.484,0.91,1.18
KER-1,7/12/25 13:55,1.96,1.96,1.96,NA,FALSE,FALSE,2066.1,933.1,0.452,0.91,0.93
KWT-1,7/12/25 14:15,4.28,3.27,3.78,1.01,TRUE,FALSE,1987.4,356.1,0.179,0.9,1
KET-1,7/12/25 14:22,2.02,2.02,2.02,NA,FALSE,FALSE,2097.2,916.7,0.438,0.91,0.91
KHT-XE5S,7/12/25 14:33,1.24,1.24,1.24,NA,FALSE,FALSE,1967.8,1080.1,0.549,0.89,1.2
KWR-1,7/14/25 11:48,3.93,2.79,3.36,1.14,TRUE,FALSE,1752,238.5,0.135,0.91,1
KHF-1,7/14/25 12:12,1.42,1.42,1.42,NA,FALSE,FALSE,1662.7,822.1,0.493,0.85,1.04
KEF-1,7/14/25 12:28,2.9,2.9,2.9,NA,FALSE,FALSE,1721.2,482.4,0.279,0.85,0.9
KWT-2,7/14/25 13:03,3.96,3.2,3.58,0.76,TRUE,FALSE,1646.7,295.2,0.179,0.8,1
KER-2,7/14/25 13:58,4.1,4.1,4.1,NA,FALSE,FALSE,1737.4,315.6,0.181,0.82,0.93
KER-1,7/27/25 13:33,3.53,3.53,3.53,NA,FALSE,FALSE,2217.8,602.5,0.271,0.91,0.93
EHR-1,7/28/25 10:02,1.96,1.96,1.96,NA,FALSE,FALSE,1469.5,349.5,0.238,0.91,1.41
EER-1,7/28/25 10:10,3.34,3.34,3.34,NA,FALSE,FALSE,1506.7,180.6,0.119,0.91,0.93
EWR-1,7/28/25 10:19,3.97,2.2,3.08,1.77,TRUE,FALSE,1517,97.1,0.064,0.91,1
EWT-2,7/28/25 10:30,4.2,2.72,3.46,1.48,TRUE,FALSE,1541.7,125.2,0.08,0.91,1
EET-1,7/28/25 10:38,1.83,1.83,1.83,NA,FALSE,FALSE,1650.8,571.2,0.346,0.91,0.9
EHT-XC5S,7/28/25 10:45,0.39,0.39,0.39,NA,FALSE,FALSE,1668.7,1308.4,0.786,0.91,0.96
EWT-1,7/28/25 11:00,2.89,1.68,2.29,1.21,TRUE,FALSE,1696.2,336.7,0.197,0.91,1
EHT-XA5S,7/28/25 11:08,0.7,0.7,0.7,NA,FALSE,FALSE,1760,1182.9,0.67,0.91,0.93
EET-2,7/28/25 11:14,0.67,0.67,0.67,NA,FALSE,FALSE,1748.4,1174.3,0.672,0.91,0.93
KER-2,7/28/25 11:47,3.09,3.09,3.09,NA,FALSE,FALSE,1804,449.4,0.249,0.91,0.93
KWR-1,7/28/25 11:55,4.1,2.96,3.53,1.14,TRUE,FALSE,1766.3,246.6,0.139,0.91,1
KHF-1,7/28/25 12:06,0.42,0.42,0.42,NA,FALSE,FALSE,1696.7,989.6,0.797,0.28,1.04
KEF-1,7/28/25 12:13,2.86,2.86,2.86,NA,FALSE,FALSE,1813,497.8,0.274,0.91,0.9
KWT2,7/28/25 12:29,5.41,5.41,5.41,NA,FALSE,FALSE,1816.4,168.2,0.092,0.9,1
KWT-1,7/28/25 12:42,4.03,3.02,3.53,1.01,TRUE,FALSE,1891.9,346.3,0.182,0.91,1
KET-1,7/28/25 12:54,1.78,1.78,1.78,NA,FALSE,FALSE,1967.1,880.4,0.447,0.91,0.91
KHT-XE5S,7/28/25 13:01,1.35,1.35,1.35,NA,FALSE,FALSE,1946.9,1007.4,0.519,0.91,1.2
KER-1,7/28/25 13:12,3.32,3.32,3.32,NA,FALSE,FALSE,2027.3,563.3,0.276,0.91,0.93
KHR-1,7/28/25 13:19,1.84,1.84,1.84,NA,FALSE,FALSE,1945.9,772.1,0.396,0.91,1.18
EHR-1,8/9/25 12:11,1.32,1.32,1.32,NA,FALSE,FALSE,1860.1,866.2,0.465,0.91,1.41
EER-1,8/9/25 12:18,3.27,3.27,3.27,NA,FALSE,FALSE,1875.1,390,0.207,0.91,0.93
EWR-1,8/9/25 12:24,4.22,2.45,3.34,1.77,TRUE,FALSE,1829,257.3,0.14,0.91,1
EWT-2,8/9/25 12:32,4.96,3.48,4.22,1.48,TRUE,FALSE,1846.4,164.9,0.089,0.91,1
EET-1,8/9/25 12:38,1.72,1.72,1.72,NA,FALSE,FALSE,1908.3,857.1,0.449,0.91,0.9
EHT-XC5S,8/9/25 12:45,0.33,0.33,0.33,NA,FALSE,FALSE,1884.7,1595.6,0.843,0.91,0.96
EWT-1,8/9/25 12:58,2.89,1.68,2.29,1.21,TRUE,FALSE,1855.3,508.4,0.274,0.9,1
EHT-XA5S,8/9/25 13:12,0.53,0.53,0.53,NA,FALSE,FALSE,1878.7,1460.1,0.777,0.9,0.93
EET-2,8/9/25 13:17,0.53,0.53,0.53,NA,FALSE,FALSE,1877.4,1435.1,0.767,0.9,0.93
KER-2,8/9/25 13:47,3.66,3.66,3.66,NA,FALSE,FALSE,1858.7,461.9,0.248,0.88,0.93
KWR-1,8/9/25 13:52,3.43,2.29,2.86,1.14,TRUE,FALSE,1825.1,360.7,0.197,0.87,1
KHF-1,8/9/25 13:59,0.99,0.99,0.99,NA,FALSE,FALSE,1809.9,1095.7,0.608,0.86,1.04
KEF-1,8/9/25 14:05,3.47,3.47,3.47,NA,FALSE,FALSE,1719.3,353,0.204,0.84,0.9
KER-1,8/9/25 14:19,3.19,3.19,3.19,NA,FALSE,FALSE,1741.7,441.4,0.254,0.84,0.93
KHR-1,8/9/25 14:27,2.26,2.26,2.26,NA,FALSE,FALSE,1779,562,0.316,0.86,1.18
KWT2,8/10/25 13:07,4.33,4.33,4.33,NA,FALSE,FALSE,1910.6,263.7,0.137,0.91,1.18
KWT2,8/10/25 13:10,4.74,4.74,4.74,NA,FALSE,FALSE,1911,261.6,0.136,0.91,1
KWT-1,8/10/25 13:25,1.38,0.37,0.87,1.01,TRUE,FALSE,1862.7,325.7,0.617,0.9,1
KHT-XE5S,8/10/25 13:50,1.05,1.05,1.05,NA,FALSE,FALSE,1909.8,1089.8,0.57,0.9,1.2
EHR-1,8/22/25 10:35,1.47,1.47,1.47,NA,FALSE,FALSE,1527.9,551.3,0.358,0.91,1.41
EER-1,8/22/25 10:44,3.93,3.93,3.93,NA,FALSE,FALSE,1545.5,139.8,0.09,0.91,0.93
EWR-1,8/22/25 10:51,2.89,1.12,2,1.77,TRUE,FALSE,1562,256.8,0.164,0.91,1
EWT-2,8/22/25 11:01,4.66,3.18,3.92,1.48,TRUE,FALSE,1556.5,76.5,0.049,0.91,1
EET-1,8/22/25 11:06,1.73,1.73,1.73,NA,FALSE,FALSE,1566.8,587.4,0.366,0.91,0.9
EHT-XC5S,8/22/25 11:15,0.31,0.31,0.31,NA,FALSE,FALSE,1707.6,1406.6,0.821,0.91,0.96
EHT-XA5S,8/22/25 11:28,1.6,1.6,1.6,NA,FALSE,FALSE,1773.1,713.2,0.401,0.91,0.93
EET-2,8/22/25 11:47,0.64,0.64,0.64,NA,FALSE,FALSE,1701.6,1180.3,0.693,0.91,0.93
EWT-1,8/22/25 11:57,2.64,1.43,2.04,1.21,TRUE,FALSE,1746.6,443.3,0.278,0.9,1
KER-2,8/22/25 12:30,3.22,3.22,3.22,NA,FALSE,FALSE,1797.8,440.5,0.252,0.91,0.93
KWR-1,8/22/25 12:37,4.48,3.34,3.91,1.14,TRUE,FALSE,2003.2,203.8,0.102,0.91,1
KHF-1,8/22/25 12:47,0.69,0.69,0.69,NA,FALSE,FALSE,885.5,552.1,0.63,0.06,1.04
KEF-1,8/22/25 12:54,2.36,2.36,2.36,NA,FALSE,FALSE,1561.5,514.5,0.329,0.91,0.9
KWT2,8/22/25 13:10,3.81,3.81,3.81,NA,FALSE,FALSE,1689.6,287.5,0.172,0.9,1
KWT-1,8/22/25 13:20,4.17,3.16,3.66,1.01,TRUE,FALSE,1777.2,249.7,0.14,0.88,1
KET-1,8/22/25 13:27,1.7,1.7,1.7,NA,FALSE,FALSE,1902.9,826,0.438,0.83,0.93
KHT-XE5S,8/22/25 13:35,0.68,0.68,0.68,NA,FALSE,FALSE,1625.9,1113.2,0.686,0.86,1.2
KER-1,8/22/25 13:46,2.39,2.39,2.39,NA,FALSE,FALSE,1214.7,352,0.295,0.56,0.93
KHR-1,8/22/25 13:55,2.29,2.29,2.29,NA,FALSE,FALSE,1743.9,501.2,0.291,0.86,1.18
EHR-1,9/3/25 11:00,0.87,0.87,0.87,NA,FALSE,FALSE,1371.3,741.7,0.541,0.91,1.41
EER-1,9/3/25 11:07,2.92,2.92,2.92,NA,FALSE,FALSE,1615.3,262.7,0.162,0.91,0.93
EWR-1,9/3/25 11:14,1.82,0.05,0.94,1.77,TRUE,FALSE,492.9,112,0.229,0.03,1
EWT-2,9/3/25 11:22,3.04,1.56,2.3,1.48,TRUE,FALSE,1248.9,138.8,0.118,0.91,1
EET-1,9/3/25 11:29,1.74,1.74,1.74,NA,FALSE,FALSE,1083.4,372.5,0.332,0.49,0.9
EHT-XC5S,9/3/25 11:34,0.25,0.25,0.25,NA,FALSE,FALSE,1494.5,1296.2,0.86,0.83,0.96
EWT-1,9/3/25 11:45,2.22,1.01,1.62,1.21,TRUE,FALSE,1554.2,486.5,0.315,0.9,1
EHT-XA5S,9/3/25 11:50,1.14,1.14,1.14,NA,FALSE,FALSE,1633.8,869.5,0.531,0.91,0.93
EET-2,9/3/25 11:53,0.84,0.84,0.84,NA,FALSE,FALSE,1664.8,1008.2,0.605,0.91,0.93
KER-2,9/3/25 12:32,3,3,3,NA,FALSE,FALSE,1788.3,458,0.255,0.91,0.93
KWR-1,9/3/25 12:36,2.18,1.04,1.61,1.14,TRUE,FALSE,766.8,166.2,0.207,0.01,1
KHF-1,9/3/25 12:43,0.87,0.87,0.87,NA,FALSE,FALSE,1911.2,1194.2,0.624,0.91,1.04
KEF-1,9/3/25 12:47,4.59,4.59,4.59,NA,FALSE,FALSE,1647,215.4,0.127,0.91,0.9
KWT2,9/3/25 12:59,3.27,3.27,3.27,NA,FALSE,FALSE,1202.1,180,0.153,0.87,1
KWT-1,9/3/25 13:06,3.05,2.04,2.54,1.01,TRUE,FALSE,1752.9,426.1,0.242,0.85,1
KET-1,9/3/25 13:12,3.4,3.4,3.4,NA,FALSE,FALSE,1983.4,379.9,0.191,0.91,0.91
KHT-XE5S,9/3/25 13:16,0.65,0.65,0.65,NA,FALSE,FALSE,1939.4,1329.3,0.685,0.91,1.2
KER-1,9/3/25 13:41,3.62,3.62,3.62,NA,FALSE,FALSE,1816.2,342.6,0.186,0.91,0.93
KHR-1,9/3/25 13:51,2.36,2.36,2.36,NA,FALSE,FALSE,1959,527.5,0.267,0.91,1.18
EHR-1,9/20/25 10:26,0.9,0.9,0.9,NA,FALSE,FALSE,895.1,444.1,0.511,0.91,1.41
EER-1,9/20/25 10:37,3.32,3.32,3.32,NA,FALSE,FALSE,1447.1,111.6,0.077,0.91,0.93
EWR-1,9/20/25 10:44,1.92,0.15,1.03,1.77,TRUE,FALSE,1143,255.7,0.244,0.42,1
EWT-2,9/20/25 10:58,3.64,2.16,2.9,1.48,TRUE,FALSE,1422.6,107.5,0.075,0.91,1
EET-1,9/20/25 11:04,1.77,1.77,1.77,NA,FALSE,FALSE,1040,370.3,0.373,0.83,0.9
EHT-XC5S,9/20/25 11:12,0.52,0.52,0.52,NA,FALSE,FALSE,1288.7,891,0.693,0.91,0.96
EWT-1,9/20/25 11:24,1.47,0.26,0.86,1.21,TRUE,FALSE,1156.1,421.1,0.38,0.91,1
EET-2,9/20/25 11:29,0.66,0.66,0.66,NA,FALSE,FALSE,1033,677.4,0.65,0.91,0.93
EHT-XA5S,9/20/25 11:34,1.17,1.17,1.17,NA,FALSE,FALSE,1202.6,572.4,0.496,0.72,0.93
KER-2,9/20/25 12:08,2.41,2.41,2.41,NA,FALSE,FALSE,1575.8,426,0.274,0.85,0.93
KWR-1,9/20/25 12:13,2.33,1.19,1.76,1.14,TRUE,FALSE,1723,441.6,0.264,0.91,1
