," PDSI (gridMET Drought) at -120.2609E,39.4333N, 1980-11-01 to 2025-11-01"," PDSI (gridMET Drought) at -120.2415E,39.4318N, 1980-11-01 to 2025-11-01"
"1991-10-07",1.47,1.47
"1991-10-12",1.33,1.33
"1991-10-17",1.19,1.19
"1991-10-22",1.05,1.05
"1991-10-27",1.09,1.09
"1991-11-01",1.11,1.11
"1991-11-06",1.13,1.13
"1991-11-11",1.14,1.14
"1991-11-16",1.15,1.15
"1991-11-21",1.22,1.22
"1991-11-26",1.17,1.17
"1991-12-01",1.11,1.11
"1991-12-06",1.04,1.04
"1991-12-11",0.97,0.97
"1991-12-16",0.88,0.88
"1991-12-21",0.77,0.77
"1991-12-26",0.65,0.65
"1991-12-31",0.56,0.56
"1992-01-05",-0.07,-0.07
"1992-01-10",-0.73,-0.73
"1992-01-15",-0.8,-0.8
"1992-01-20",-0.87,-0.87
"1992-01-25",-0.95,-0.95
"1992-01-30",-1.03,-1.03
"1992-02-04",-1.11,-1.11
"1992-02-09",-1.19,-1.19
"1992-02-14",-1.25,-1.25
"1992-02-19",-1.26,-1.26
"1992-02-24",-1.24,-1.24
"1992-02-29",-1.28,-1.28
"1992-03-05",-1.31,-1.31
"1992-03-10",-1.35,-1.35
"1992-03-15",-1.39,-1.39
"1992-03-20",-1.47,-1.47
"1992-03-25",-1.55,-1.55
"1992-03-30",-1.62,-1.62
"1992-04-04",-1.69,-1.69
"1992-04-09",-1.76,-1.76
"1992-04-14",-1.82,-1.82
"1992-04-19",-1.86,-1.86
"1992-04-24",-1.92,-1.92
"1992-04-29",-1.99,-1.99
"1992-05-04",-2.06,-2.06
"1992-05-09",-2.14,-2.14
"1992-05-14",-2.24,-2.24
"1992-05-19",-2.36,-2.36
"1992-05-24",-2.5,-2.5
"1992-05-29",-2.65,-2.65
"1992-06-03",-2.82,-2.82
"1992-06-08",-2.98,-2.98
"1992-06-13",-3.13,-3.13
"1992-06-18",-3.23,-3.23
"1992-06-23",-3.32,-3.32
"1992-06-28",-3.37,-3.37
"1992-07-03",-3.35,-3.35
"1992-07-08",-3.3,-3.3
"1992-07-13",-3.23,-3.23
"1992-07-18",-3.15,-3.15
"1992-07-23",-3.07,-3.07
"1992-07-28",-2.98,-2.98
"1992-08-02",-2.94,-2.94
"1992-08-07",-2.89,-2.89
"1992-08-12",-2.87,-2.87
"1992-08-17",-2.86,-2.86
"1992-08-22",-2.84,-2.84
"1992-08-27",-2.82,-2.82
"1992-09-01",-2.77,-2.77
"1992-09-06",-2.7,-2.7
"1992-09-11",-2.66,-2.66
"1992-09-16",-2.64,-2.64
"1992-09-21",-2.6,-2.6
"1992-09-26",-2.59,-2.59
"1992-10-01",-2.6,-2.6
"1992-10-06",-2.63,-2.63
"1992-10-11",-2.67,-2.67
"1992-10-16",-2.72,-2.72
"1992-10-21",-2.76,-2.76
"1992-10-26",-2.79,-2.79
"1992-10-31",-2.69,-2.69
"1992-11-05",-2.59,-2.59
"1992-11-10",-2.52,-2.52
"1992-11-15",-2.47,-2.47
"1992-11-20",-2.45,-2.45
"1992-11-25",-2.45,-2.45
"1992-11-30",-2.54,-2.54
"1992-12-05",-2.62,-2.62
"1992-12-10",-2.6,-2.6
"1992-12-15",-2.57,-2.57
"1992-12-20",-2.53,-2.53
"1992-12-25",-2.49,-2.49
"1992-12-30",-2.37,-2.37
"1993-01-05",-2.24,-2.24
"1993-01-10",-2.16,-2.16
"1993-01-15",-2.01,-2.01
"1993-01-20",-1.77,-1.77
"1993-01-25",-1.53,-1.53
"1993-01-30",-1.36,-1.36
"1993-02-04",-1.22,-1.22
"1993-02-09",-1.14,-1.14
"1993-02-14",-1.1,-1.1
"1993-02-19",-1.06,-1.06
"1993-02-24",-0.98,-0.98
"1993-03-01",-0.91,-0.91
"1993-03-06",-0.84,-0.84
"1993-03-11",-0.77,-0.77
"1993-03-16",-0.69,-0.69
"1993-03-21",-0.68,-0.68
"1993-03-26",-0.71,-0.71
"1993-03-31",-0.73,-0.73
"1993-04-05",-0.72,-0.72
"1993-04-10",-0.69,-0.69
"1993-04-15",-0.66,-0.66
"1993-04-20",-0.61,-0.61
"1993-04-25",-0.63,-0.63
"1993-04-30",-0.65,-0.65
"1993-05-05",-0.66,-0.66
"1993-05-10",-0.67,-0.67
"1993-05-15",-0.67,-0.67
"1993-05-20",-0.72,-0.72
"1993-05-25",-0.74,-0.74
"1993-05-30",-0.72,-0.72
"1993-06-04",-0.65,-0.65
"1993-06-09",-0.55,-0.55
"1993-06-14",0.1,0.1
"1993-06-19",1.03,1.03
"1993-06-24",1.08,1.08
"1993-06-29",1.13,1.13
"1993-07-04",1.15,1.15
"1993-07-09",1.17,1.17
"1993-07-14",1.21,1.21
"1993-07-19",1.22,1.22
"1993-07-24",1.2,1.2
"1993-07-29",1.18,1.18
"1993-08-03",1.13,1.13
"1993-08-08",1.07,1.07
"1993-08-13",1.02,1.02
"1993-08-18",0.98,0.98
"1993-08-23",0.94,0.94
"1993-08-28",0.9,0.9
"1993-09-02",0.85,0.85
"1993-09-07",0.83,0.83
"1993-09-12",0.79,0.79
"1993-09-17",0.74,0.74
"1993-09-22",0.68,0.68
"1993-09-27",0.61,0.61
"1993-10-02",0.52,0.52
"1993-10-07",-0.02,-0.02
"1993-10-12",-0.01,-0.01
"1993-10-17",0.07,0.07
"1993-10-22",0.05,0.05
"1993-10-27",0.03,0.03
"1993-11-01",0.02,0.02
"1993-11-06",-0.05,-0.05
"1993-11-11",-0.07,-0.07
"1993-11-16",-0.13,-0.13
"1993-11-21",-0.62,-0.62
"1993-11-26",-0.75,-0.75
"1993-12-01",-0.82,-0.82
"1993-12-06",-0.9,-0.9
"1993-12-11",-0.95,-0.95
"1993-12-16",-1,-1
"1993-12-21",-1.06,-1.06
"1993-12-26",-1.11,-1.11
"1993-12-31",-1.16,-1.16
"1994-01-05",-1.2,-1.2
"1994-01-10",-1.25,-1.25
"1994-01-15",-1.31,-1.31
"1994-01-20",-1.37,-1.37
"1994-01-25",-1.43,-1.43
"1994-01-30",-1.5,-1.5
"1994-02-04",-1.56,-1.56
"1994-02-09",-1.62,-1.62
"1994-02-14",-1.67,-1.67
"1994-02-19",-1.71,-1.71
"1994-02-24",-1.74,-1.74
"1994-03-01",-1.77,-1.77
"1994-03-06",-1.82,-1.82
"1994-03-11",-1.88,-1.88
"1994-03-16",-1.94,-1.94
"1994-03-21",-2,-2
"1994-03-26",-2.07,-2.07
"1994-03-31",-2.13,-2.13
"1994-04-05",-2.2,-2.2
"1994-04-10",-2.29,-2.29
"1994-04-15",-2.38,-2.38
"1994-04-20",-2.48,-2.48
"1994-04-25",-2.55,-2.55
"1994-04-30",-2.6,-2.6
"1994-05-05",-2.64,-2.64
"1994-05-10",-2.66,-2.66
"1994-05-15",-2.65,-2.65
"1994-05-20",-2.61,-2.61
"1994-05-25",-2.61,-2.61
"1994-05-30",-2.63,-2.63
"1994-06-04",-2.65,-2.65
"1994-06-09",-2.74,-2.74
"1994-06-14",-2.79,-2.79
"1994-06-19",-2.84,-2.84
"1994-06-24",-2.89,-2.89
"1994-06-29",-2.93,-2.93
"1994-07-04",-2.99,-2.99
"1994-07-09",-3.05,-3.05
"1994-07-14",-3.1,-3.1
"1994-07-19",-3.15,-3.15
"1994-07-24",-3.18,-3.18
"1994-07-29",-3.19,-3.19
"1994-08-03",-3.18,-3.18
"1994-08-08",-3.18,-3.18
"1994-08-13",-3.17,-3.17
"1994-08-18",-3.17,-3.17
"1994-08-23",-3.18,-3.18
"1994-08-28",-3.18,-3.18
"1994-09-02",-3.18,-3.18
"1994-09-07",-3.18,-3.18
"1994-09-12",-3.17,-3.17
"1994-09-17",-3.16,-3.16
"1994-09-22",-3.15,-3.15
"1994-09-27",-3.15,-3.15
"1994-10-02",-3.12,-3.12
"1994-10-07",-3.04,-3.04
"1994-10-12",-2.97,-2.97
"1994-10-17",-2.9,-2.9
"1994-10-22",-2.84,-2.84
"1994-10-27",-2.8,-2.8
"1994-11-01",-2.79,-2.79
"1994-11-06",-2.65,-2.65
"1994-11-11",-2.51,-2.51
"1994-11-16",-2.37,-2.37
"1994-11-21",-2.25,-2.25
"1994-11-26",-2.1,-2.1
"1994-12-01",-1.98,-1.98
"1994-12-06",-1.9,-1.9
"1994-12-11",-1.82,-1.82
"1994-12-16",-1.74,-1.74
"1994-12-21",-1.69,-1.69
"1994-12-26",-1.67,-1.67
"1994-12-31",-1.67,-1.67
"1995-01-05",-1.72,-1.72
"1995-01-10",-1.6,-1.6
"1995-01-15",-1.42,-1.42
"1995-01-20",-1.23,-1.23
"1995-01-25",-1.03,-1.03
"1995-01-30",-0.76,-0.76
"1995-02-04",1.53,1.53
"1995-02-09",1.57,1.57
"1995-02-14",1.52,1.52
"1995-02-19",1.45,1.45
"1995-02-24",1.35,1.35
"1995-03-01",1.23,1.23
"1995-03-06",1.16,1.16
"1995-03-11",1.27,1.27
"1995-03-16",1.4,1.4
"1995-03-21",1.74,1.74
"1995-03-26",2.1,2.1
"1995-03-31",2.46,2.46
"1995-04-05",2.78,2.78
"1995-04-10",2.89,2.89
"1995-04-15",3.04,3.04
"1995-04-20",3.07,3.07
"1995-04-25",3.01,3.01
"1995-04-30",3.13,3.13
"1995-05-05",3.42,3.42
"1995-05-10",3.68,3.68
"1995-05-15",3.99,3.99
"1995-05-20",4.23,4.23
"1995-05-25",4.51,4.51
"1995-05-30",4.66,4.66
"1995-06-04",4.68,4.68
"1995-06-09",4.72,4.72
"1995-06-14",4.73,4.73
"1995-06-19",4.82,4.82
"1995-06-24",4.94,4.94
"1995-06-29",5.09,5.09
"1995-07-04",5.19,5.19
"1995-07-09",5.35,5.35
"1995-07-14",5.42,5.42
"1995-07-19",5.57,5.57
"1995-07-24",5.71,5.71
"1995-07-29",5.85,5.85
"1995-08-03",5.87,5.87
"1995-08-08",5.86,5.86
"1995-08-13",5.79,5.79
"1995-08-18",5.64,5.64
"1995-08-23",5.5,5.5
"1995-08-28",5.36,5.36
"1995-09-02",5.22,5.22
"1995-09-07",5.1,5.1
"1995-09-12",4.97,4.97
"1995-09-17",4.83,4.83
"1995-09-22",4.69,4.69
"1995-09-27",4.53,4.53
"1995-10-02",4.37,4.37
"1995-10-07",4.19,4.19
"1995-10-12",4.01,4.01
"1995-10-17",3.83,3.83
"1995-10-22",3.64,3.64
"1995-10-27",3.45,3.45
"1995-11-01",3.25,3.25
"1995-11-06",3.05,3.05
"1995-11-11",2.84,2.84
"1995-11-16",2.63,2.63
"1995-11-21",2.43,2.43
"1995-11-26",2.26,2.26
"1995-12-01",2.1,2.1
"1995-12-06",1.97,1.97
"1995-12-11",1.89,1.89
"1995-12-16",1.88,1.88
"1995-12-21",1.86,1.86
"1995-12-26",1.83,1.83
"1995-12-31",1.79,1.79
"1996-01-05",1.72,1.72
"1996-01-10",1.64,1.64
"1996-01-15",1.53,1.53
"1996-01-20",1.47,1.47
"1996-01-25",1.48,1.48
"1996-01-30",1.57,1.57
"1996-02-04",1.76,1.76
"1996-02-09",1.92,1.92
"1996-02-14",2.03,2.03
"1996-02-19",2.18,2.18
"1996-02-24",2.32,2.32
"1996-02-29",2.4,2.4
"1996-03-05",2.47,2.47
"1996-03-10",2.55,2.55
"1996-03-15",2.67,2.67
"1996-03-20",2.71,2.71
"1996-03-25",2.65,2.65
"1996-03-30",2.61,2.61
"1996-04-04",2.54,2.54
"1996-04-09",2.47,2.47
"1996-04-14",2.38,2.38
"1996-04-19",2.41,2.41
"1996-04-24",2.46,2.46
"1996-04-29",2.47,2.47
"1996-05-04",2.43,2.43
"1996-05-09",2.4,2.4
"1996-05-14",2.42,2.42
"1996-05-19",2.62,2.62
"1996-05-24",2.85,2.85
"1996-05-29",3.1,3.1
"1996-06-03",3.33,3.33
"1996-06-08",3.57,3.57
"1996-06-13",3.77,3.77
"1996-06-18",3.77,3.77
"1996-06-23",3.83,3.83
"1996-06-28",3.95,3.95
"1996-07-03",4.07,4.07
"1996-07-08",4.23,4.23
"1996-07-13",4.39,4.39
"1996-07-18",4.39,4.39
"1996-07-23",4.38,4.38
"1996-07-28",4.39,4.39
"1996-08-02",4.39,4.39
"1996-08-07",4.35,4.35
"1996-08-12",4.29,4.29
"1996-08-17",4.23,4.23
"1996-08-22",4.17,4.17
"1996-08-27",4.1,4.1
"1996-09-01",4.03,4.03
"1996-09-06",3.98,3.98
"1996-09-11",3.9,3.9
"1996-09-16",3.86,3.86
"1996-09-21",3.83,3.83
"1996-09-26",3.77,3.77
"1996-10-01",3.7,3.7
"1996-10-06",3.61,3.61
"1996-10-11",3.52,3.52
"1996-10-16",3.35,3.35
"1996-10-21",3.23,3.23
"1996-10-26",3.14,3.14
"1996-10-31",3.06,3.06
"1996-11-05",2.99,2.99
"1996-11-10",2.9,2.9
"1996-11-15",2.8,2.8
"1996-11-20",2.82,2.82
"1996-11-25",2.82,2.82
"1996-11-30",2.8,2.8
"1996-12-05",2.85,2.85
"1996-12-10",3.04,3.04
"1996-12-15",3.3,3.3
"1996-12-20",3.46,3.46
"1996-12-25",3.73,3.73
"1996-12-30",4.02,4.02
"1997-01-05",4.34,4.34
"1997-01-10",4.53,4.53
"1997-01-15",4.69,4.69
"1997-01-20",4.8,4.8
"1997-01-25",5,5
"1997-01-30",5.19,5.19
"1997-02-04",5.27,5.27
"1997-02-09",5.35,5.35
"1997-02-14",5.4,5.4
"1997-02-19",5.4,5.4
"1997-02-24",5.23,5.23
"1997-03-01",5.05,5.05
"1997-03-06",4.87,4.87
"1997-03-11",4.67,4.67
"1997-03-16",4.47,4.47
"1997-03-21",4.26,4.26
"1997-03-26",4.06,4.06
"1997-03-31",3.87,3.87
"1997-04-05",3.69,3.69
"1997-04-10",3.52,3.52
"1997-04-15",3.34,3.34
"1997-04-20",3.19,3.19
"1997-04-25",3.06,3.06
"1997-04-30",2.94,2.94
"1997-05-05",2.81,2.81
"1997-05-10",2.64,2.64
"1997-05-15",2.47,2.47
"1997-05-20",2.28,2.28
"1997-05-25",2.14,2.14
"1997-05-30",1.98,1.98
"1997-06-04",1.86,1.86
"1997-06-09",1.77,1.77
"1997-06-14",1.73,1.73
"1997-06-19",1.7,1.7
"1997-06-24",1.65,1.65
"1997-06-29",1.62,1.62
"1997-07-04",1.57,1.57
"1997-07-09",1.52,1.52
"1997-07-14",1.44,1.44
"1997-07-19",1.36,1.36
"1997-07-24",1.3,1.3
"1997-07-29",1.28,1.28
"1997-08-03",1.25,1.25
"1997-08-08",1.22,1.22
"1997-08-13",1.19,1.19
"1997-08-18",1.15,1.15
"1997-08-23",1.15,1.15
"1997-08-28",1.12,1.12
"1997-09-02",1.09,1.09
"1997-09-07",1.08,1.08
"1997-09-12",1.06,1.06
"1997-09-17",1.04,1.04
"1997-09-22",1,1
"1997-09-27",0.94,0.94
"1997-10-02",0.89,0.89
"1997-10-07",0.82,0.82
"1997-10-12",0.83,0.83
"1997-10-17",0.81,0.81
"1997-10-22",0.77,0.77
"1997-10-27",0.71,0.71
"1997-11-01",0.63,0.63
"1997-11-06",0.55,0.55
"1997-11-11",-1.76,-1.76
"1997-11-16",-1.84,-1.84
"1997-11-21",-1.9,-1.9
"1997-11-26",-1.9,-1.9
"1997-12-01",-1.9,-1.9
"1997-12-06",-1.9,-1.9
"1997-12-11",-1.88,-1.88
"1997-12-16",-1.88,-1.88
"1997-12-21",-1.89,-1.89
"1997-12-26",-1.94,-1.94
"1997-12-31",-1.98,-1.98
"1998-01-05",-2.01,-2.01
"1998-01-10",-2.05,-2.05
"1998-01-15",-2.04,-2.04
"1998-01-20",-1.99,-1.99
"1998-01-25",-1.95,-1.95
"1998-01-30",-1.87,-1.87
"1998-02-04",-1.72,-1.72
"1998-02-09",-1.49,-1.49
"1998-02-14",-1.28,-1.28
"1998-02-19",-1.14,-1.14
"1998-02-24",-0.95,-0.95
"1998-03-01",-0.78,-0.78
"1998-03-06",-0.69,-0.69
"1998-03-11",-0.66,-0.66
"1998-03-16",-0.69,-0.69
"1998-03-21",-0.71,-0.71
"1998-03-26",-0.7,-0.7
"1998-03-31",-0.67,-0.67
"1998-04-05",-0.62,-0.62
"1998-04-10",-0.54,-0.54
"1998-04-15",1.1,1.1
"1998-04-20",1.26,1.26
"1998-04-25",1.29,1.29
"1998-04-30",1.29,1.29
"1998-05-05",1.31,1.31
"1998-05-10",1.37,1.37
"1998-05-15",1.44,1.44
"1998-05-20",1.52,1.52
"1998-05-25",1.65,1.65
"1998-05-30",1.82,1.82
"1998-06-04",1.96,1.96
"1998-06-09",2.11,2.11
"1998-06-14",2.24,2.24
"1998-06-19",2.38,2.38
"1998-06-24",2.54,2.54
"1998-06-29",2.71,2.71
"1998-07-04",2.89,2.89
"1998-07-09",3.11,3.11
"1998-07-14",3.27,3.27
"1998-07-19",3.45,3.45
"1998-07-24",3.63,3.63
"1998-07-29",3.78,3.78
"1998-08-03",3.85,3.85
"1998-08-08",3.81,3.81
"1998-08-13",3.73,3.73
"1998-08-18",3.67,3.67
"1998-08-23",3.62,3.62
"1998-08-28",3.55,3.55
"1998-09-02",3.5,3.5
"1998-09-07",3.58,3.58
"1998-09-12",3.73,3.73
"1998-09-17",3.82,3.82
"1998-09-22",3.91,3.91
"1998-09-27",4.09,4.09
"1998-10-02",4.25,4.25
"1998-10-07",4.31,4.31
"1998-10-12",4.29,4.29
"1998-10-17",4.26,4.26
"1998-10-22",4.21,4.21
"1998-10-27",4.09,4.09
"1998-11-01",4.03,4.03
"1998-11-06",3.98,3.98
"1998-11-11",3.94,3.94
"1998-11-16",3.88,3.88
"1998-11-21",3.83,3.83
"1998-11-26",3.8,3.8
"1998-12-01",3.77,3.77
"1998-12-06",3.76,3.76
"1998-12-11",3.73,3.73
"1998-12-16",3.71,3.71
"1998-12-21",3.67,3.67
"1998-12-26",3.59,3.59
"1998-12-31",3.45,3.45
"1999-01-05",3.29,3.29
"1999-01-10",3.11,3.11
"1999-01-15",2.95,2.95
"1999-01-20",2.88,2.88
"1999-01-25",2.86,2.86
"1999-01-30",2.88,2.88
"1999-02-04",2.9,2.9
"1999-02-09",3.09,3.09
"1999-02-14",3.25,3.25
"1999-02-19",3.31,3.31
"1999-02-24",3.34,3.34
"1999-03-01",3.39,3.39
"1999-03-06",3.44,3.44
"1999-03-11",3.39,3.39
"1999-03-16",3.33,3.33
"1999-03-21",3.27,3.27
"1999-03-26",3.17,3.17
"1999-03-31",3.04,3.04
"1999-04-05",2.94,2.94
"1999-04-10",2.85,2.85
"1999-04-15",2.78,2.78
"1999-04-20",2.72,2.72
"1999-04-25",2.72,2.72
"1999-04-30",2.75,2.75
"1999-05-05",2.78,2.78
"1999-05-10",2.76,2.76
"1999-05-15",2.77,2.77
"1999-05-20",2.76,2.76
"1999-05-25",2.73,2.73
"1999-05-30",2.67,2.67
"1999-06-04",2.64,2.64
"1999-06-09",2.62,2.62
"1999-06-14",2.61,2.61
"1999-06-19",2.62,2.62
"1999-06-24",2.64,2.64
"1999-06-29",2.63,2.63
"1999-07-04",2.58,2.58
"1999-07-09",2.51,2.51
"1999-07-14",2.44,2.44
"1999-07-19",2.38,2.38
"1999-07-24",2.31,2.31
"1999-07-29",2.24,2.24
"1999-08-03",2.16,2.16
"1999-08-08",2.11,2.11
"1999-08-13",2.12,2.12
"1999-08-18",2.15,2.15
"1999-08-23",2.19,2.19
"1999-08-28",2.25,2.25
"1999-09-02",2.32,2.32
"1999-09-07",2.39,2.39
"1999-09-12",2.39,2.39
"1999-09-17",2.36,2.36
"1999-09-22",2.33,2.33
"1999-09-27",2.25,2.25
"1999-10-02",2.16,2.16
"1999-10-07",2.05,2.05
"1999-10-12",1.93,1.93
"1999-10-17",1.8,1.8
"1999-10-22",1.65,1.65
"1999-10-27",1.54,1.54
"1999-11-01",1.48,1.48
"1999-11-06",1.41,1.41
"1999-11-11",1.35,1.35
"1999-11-16",1.29,1.29
"1999-11-21",1.26,1.26
"1999-11-26",1.19,1.19
"1999-12-01",1.1,1.1
"1999-12-06",1,1
"1999-12-11",0.88,0.88
"1999-12-16",0.75,0.75
"1999-12-21",0.61,0.61
"1999-12-26",-1.18,-1.18
"1999-12-31",-1.25,-1.25
"2000-01-05",-1.32,-1.32
"2000-01-10",-1.37,-1.37
"2000-01-15",-1.41,-1.41
"2000-01-20",-1.43,-1.43
"2000-01-25",-1.39,-1.39
"2000-01-30",-1.33,-1.33
"2000-02-04",-1.25,-1.25
"2000-02-09",-1.17,-1.17
"2000-02-14",-1.05,-1.05
"2000-02-19",-0.95,-0.95
"2000-02-24",-0.9,-0.9
"2000-02-29",-0.81,-0.81
"2000-03-05",-0.74,-0.74
"2000-03-10",-0.64,-0.64
"2000-03-15",-0.64,-0.64
"2000-03-20",-0.63,-0.63
"2000-03-25",-0.67,-0.67
"2000-03-30",-0.77,-0.77
"2000-04-04",-0.87,-0.87
"2000-04-09",-0.99,-0.99
"2000-04-14",-1.09,-1.09
"2000-04-19",-1.15,-1.15
"2000-04-24",-1.19,-1.19
"2000-04-29",-1.2,-1.2
"2000-05-04",-1.22,-1.22
"2000-05-09",-1.18,-1.18
"2000-05-14",-1.14,-1.14
"2000-05-19",-1.1,-1.1
"2000-05-24",-1.04,-1.04
"2000-05-29",-1.01,-1.01
"2000-06-03",-0.98,-0.98
"2000-06-08",-1,-1
"2000-06-13",-1.02,-1.02
"2000-06-18",-1.06,-1.06
"2000-06-23",-1.08,-1.08
"2000-06-28",-1.12,-1.12
"2000-07-03",-1.15,-1.15
"2000-07-08",-1.19,-1.19
"2000-07-13",-1.23,-1.23
"2000-07-18",-1.29,-1.29
"2000-07-23",-1.33,-1.33
"2000-07-28",-1.38,-1.38
"2000-08-02",-1.42,-1.42
"2000-08-07",-1.46,-1.46
"2000-08-12",-1.5,-1.5
"2000-08-17",-1.54,-1.54
"2000-08-22",-1.57,-1.57
"2000-08-27",-1.6,-1.6
"2000-09-01",-1.61,-1.61
"2000-09-06",-1.56,-1.56
"2000-09-11",-1.52,-1.52
"2000-09-16",-1.47,-1.47
"2000-09-21",-1.44,-1.44
"2000-09-26",-1.42,-1.42
"2000-10-01",-1.43,-1.43
"2000-10-06",-1.49,-1.49
"2000-10-11",-1.54,-1.54
"2000-10-16",-1.58,-1.58
"2000-10-21",-1.61,-1.61
"2000-10-26",-1.62,-1.62
"2000-10-31",-1.58,-1.58
"2000-11-05",-1.54,-1.54
"2000-11-10",-1.53,-1.53
"2000-11-15",-1.53,-1.53
"2000-11-20",-1.55,-1.55
"2000-11-25",-1.59,-1.59
"2000-11-30",-1.65,-1.65
"2000-12-05",-1.72,-1.72
"2000-12-10",-1.81,-1.81
"2000-12-15",-1.89,-1.89
"2000-12-20",-1.96,-1.96
"2000-12-25",-2.03,-2.03
"2000-12-30",-2.08,-2.08
"2001-01-05",-2.12,-2.12
"2001-01-10",-2.15,-2.15
"2001-01-15",-2.17,-2.17
"2001-01-20",-2.19,-2.19
"2001-01-25",-2.22,-2.22
"2001-01-30",-2.26,-2.26
"2001-02-04",-2.28,-2.28
"2001-02-09",-2.32,-2.32
"2001-02-14",-2.36,-2.36
"2001-02-19",-2.4,-2.4
"2001-02-24",-2.43,-2.43
"2001-03-01",-2.46,-2.46
"2001-03-06",-2.5,-2.5
"2001-03-11",-2.54,-2.54
"2001-03-16",-2.6,-2.6
"2001-03-21",-2.66,-2.66
"2001-03-26",-2.72,-2.72
"2001-03-31",-2.77,-2.77
"2001-04-05",-2.83,-2.83
"2001-04-10",-2.88,-2.88
"2001-04-15",-2.9,-2.9
"2001-04-20",-2.86,-2.86
"2001-04-25",-2.79,-2.79
"2001-04-30",-2.71,-2.71
"2001-05-05",-2.62,-2.62
"2001-05-10",-2.61,-2.61
"2001-05-15",-2.65,-2.65
"2001-05-20",-2.72,-2.72
"2001-05-25",-2.81,-2.81
"2001-05-30",-2.91,-2.91
"2001-06-04",-3.04,-3.04
"2001-06-09",-3.17,-3.17
"2001-06-14",-3.32,-3.32
"2001-06-19",-3.45,-3.45
"2001-06-24",-3.58,-3.58
"2001-06-29",-3.7,-3.7
"2001-07-04",-3.78,-3.78
"2001-07-09",-3.84,-3.84
"2001-07-14",-3.88,-3.88
"2001-07-19",-3.9,-3.9
"2001-07-24",-3.9,-3.9
"2001-07-29",-3.9,-3.9
"2001-08-03",-3.89,-3.89
"2001-08-08",-3.88,-3.88
"2001-08-13",-3.87,-3.87
"2001-08-18",-3.87,-3.87
"2001-08-23",-3.87,-3.87
"2001-08-28",-3.86,-3.86
"2001-09-02",-3.85,-3.85
"2001-09-07",-3.83,-3.83
"2001-09-12",-3.82,-3.82
"2001-09-17",-3.81,-3.81
"2001-09-22",-3.8,-3.8
"2001-09-27",-3.74,-3.74
"2001-10-02",-3.7,-3.7
"2001-10-07",-3.67,-3.67
"2001-10-12",-3.64,-3.64
"2001-10-17",-3.63,-3.63
"2001-10-22",-3.64,-3.64
"2001-10-27",-3.69,-3.69
"2001-11-01",-3.73,-3.73
"2001-11-06",-3.76,-3.76
"2001-11-11",-3.79,-3.79
"2001-11-16",-3.78,-3.78
"2001-11-21",-3.74,-3.74
"2001-11-26",-3.63,-3.63
"2001-12-01",-3.53,-3.53
"2001-12-06",-3.35,-3.35
"2001-12-11",-3.2,-3.2
"2001-12-16",-3.03,-3.03
"2001-12-21",-2.86,-2.86
"2001-12-26",-2.7,-2.7
"2001-12-31",-2.58,-2.58
"2002-01-05",-2.52,-2.52
"2002-01-10",-2.45,-2.45
"2002-01-15",-2.42,-2.42
"2002-01-20",-2.44,-2.44
"2002-01-25",-2.45,-2.45
"2002-01-30",-2.45,-2.45
"2002-02-04",-2.48,-2.48
"2002-02-09",-2.51,-2.51
"2002-02-14",-2.52,-2.52
"2002-02-19",-2.53,-2.53
"2002-02-24",-2.54,-2.54
"2002-03-01",-2.58,-2.58
"2002-03-06",-2.6,-2.6
"2002-03-11",-2.59,-2.59
"2002-03-16",-2.59,-2.59
"2002-03-21",-2.58,-2.58
"2002-03-26",-2.56,-2.56
"2002-03-31",-2.53,-2.53
"2002-04-05",-2.55,-2.55
"2002-04-10",-2.6,-2.6
"2002-04-15",-2.66,-2.66
"2002-04-20",-2.69,-2.69
"2002-04-25",-2.74,-2.74
"2002-04-30",-2.73,-2.73
"2002-05-05",-2.7,-2.7
"2002-05-10",-2.66,-2.66
"2002-05-15",-2.64,-2.64
"2002-05-20",-2.63,-2.63
"2002-05-25",-2.63,-2.63
"2002-05-30",-2.65,-2.65
"2002-06-04",-2.64,-2.64
"2002-06-09",-2.68,-2.68
"2002-06-14",-2.73,-2.73
"2002-06-19",-2.81,-2.81
"2002-06-24",-2.88,-2.88
"2002-06-29",-2.95,-2.95
"2002-07-04",-3.01,-3.01
"2002-07-09",-3.08,-3.08
"2002-07-14",-3.14,-3.14
"2002-07-19",-3.18,-3.18
"2002-07-24",-3.2,-3.2
"2002-07-29",-3.21,-3.21
"2002-08-03",-3.21,-3.21
"2002-08-08",-3.21,-3.21
"2002-08-13",-3.2,-3.2
"2002-08-18",-3.2,-3.2
"2002-08-23",-3.2,-3.2
"2002-08-28",-3.2,-3.2
"2002-09-02",-3.19,-3.19
"2002-09-07",-3.18,-3.18
"2002-09-12",-3.18,-3.18
"2002-09-17",-3.19,-3.19
"2002-09-22",-3.2,-3.2
"2002-09-27",-3.23,-3.23
"2002-10-02",-3.26,-3.26
"2002-10-07",-3.3,-3.3
"2002-10-12",-3.35,-3.35
"2002-10-17",-3.4,-3.4
"2002-10-22",-3.46,-3.46
"2002-10-27",-3.51,-3.51
"2002-11-01",-3.59,-3.59
"2002-11-06",-3.66,-3.66
"2002-11-11",-3.44,-3.44
"2002-11-16",-3.26,-3.26
"2002-11-21",-3.12,-3.12
"2002-11-26",-3.02,-3.02
"2002-12-01",-2.94,-2.94
