New File:  2016-02-16 00:00:01.2298

00:00:01.084 R 00 00 00 00 00 00 50 de bd                       ......P..
00:00:01.184 T bd a0 03 5f fe 10 03 0f fe 09 66 00 00 05 00 02  ..._......f.....
00:00:01.184 T 96 df 00 00 00 01 00 00 9f 51 bd                 .........Q.
00:00:01.220 R bd af fe 10 03 1f fe 00 03 89 66 00 00 02 00 00  ..........f.....
00:00:01.220 R 30 8e 00 01 31 23 c6 a8 00 00 00 00 51 f8 09 2e  0...1#......Q...
00:00:01.220 R 62 69 62 57 27 b1 45 76 64 53 65 1b 64 6f 64 e2  bibW'.EvdSe.dod.
00:00:01.220 R 5c e5 5b e8 5c 18 41 9c 68 52 44 c7 44 c8 44 c7  \.[.\.A.hRD.D.D.
00:00:01.220 R 3f 05 60 00 00 00 00 00 60 05 60 00 69 6b 69 50  ?.`.....`.`.ikiP
00:00:01.220 R 27 05 43 56 6f 1f 43 98 43 72 43 89 4c 63 4c 17  '.CVo.C.CrC.LcL.
00:00:01.220 R 4c 41 9f fe 61 b0 aa ab aa ab aa ab 9f fe 9f fe  LA..a...........
00:00:01.220 R 9f fe 60 00 60 00 60 00 69 b0 69 70 00 17 c2 bd  ..`.`.`.i.ip....
00:00:01.320 T bd a0 03 5f fe 10 03 0f fe 09 6a 00 00 06 00 04  ..._......j.....
00:00:01.320 T e2 6c 00 00 30 89 00 00 30 8e 00 00 38 4d bd     .l..0...0...8M.
00:00:01.363 R bd af fe 10 03 1f fe 00 03 89 6a 00 00 04 00 00  ..........j.....
00:00:01.363 R 30 89 00 05 31 23 ba f0 00 00 00 00 b5 19 ad 71  0...1#.........q
00:00:01.363 R 60 00 60 00 b5 34 ad 7e 60 00 60 00 b5 4d ad 8c  `.`..4.~`.`..M..
00:00:01.363 R 60 00 60 00 67 d0 67 d0 67 d0 9f fe 9f fe 9f fe  `.`.g.g.g.......
00:00:01.363 R 9f fe 9f fe 9f fe aa ab aa ab aa ab 9f fe 9f fe  ................
00:00:01.363 R 9f fe 9f fe 9f fe 9f fe 60 00 60 00 60 00 9f fe  ........`.`.`...
00:00:01.363 R 9f fe 9f fe 9f fe 9f fe 9f fe 9f fe 9f fe 9f fe  ................
00:00:01.363 R 23 e8 23 e8 23 e8 b5 19 ad 72 60 00 60 00 b5 34  #.#.#....r`.`..4
00:00:01.363 R ad 7e 60 00 60 00 b5 4d ad 8c 60 00 60 00 67 d0  .~`.`..M..`.`.g.
00:00:01.363 R 67 d0 67 d0 9f fe 9f fe 9f fe 9f fe 9f fe 9f fe  g.g.............
00:00:01.363 R aa ab aa ab aa ab 9f fe 9f fe 9f fe 9f fe 9f fe  ................
00:00:01.363 R 9f fe 60 00 60 00 60 00 9f fe 9f fe 9f fe 9f fe  ..`.`.`.........
00:00:01.363 R 9f fe 9f fe 9f fe 9f fe 9f fe 23 e8 23 e8 23 e8  ..........#.#.#.
00:00:01.363 R b5 1e ad 71 60 00 60 00 b5 34 ad 7e 60 00 60 00  ...q`.`..4.~`.`.
