,DT,baro LEVEL,Date,Time,ms,TEMPERATURE,logger LEVEL,Compensated Level
0,2019-07-26 13:20:00,8.229701246,7/26/19,1:20:00 PM,0,8.779,8.533,0.30329875400000006
1,2019-07-26 13:30:00,8.2293137524,7/26/19,1:30:00 PM,0,8.766,8.5277,0.2983862475999999
2,2019-07-26 13:40:00,8.228334821199999,7/26/19,1:40:00 PM,0,8.756,8.5248,0.2964651788000019
3,2019-07-26 13:50:00,8.2278555528,7/26/19,1:50:00 PM,0,8.748,8.522,0.29414444720000077
4,2019-07-26 14:00:00,8.227722989199998,7/26/19,2:00:00 PM,0,8.742,8.5194,0.29167701080000086
5,2019-07-26 14:10:00,8.22786575,7/26/19,2:10:00 PM,0,8.737,8.5172,0.28933425000000135
6,2019-07-26 14:20:00,8.2271825376,7/26/19,2:20:00 PM,0,8.734,8.5157,0.28851746240000153
7,2019-07-26 14:30:00,8.2270703684,7/26/19,2:30:00 PM,0,8.73,8.5142,0.28712963160000093
8,2019-07-26 14:40:00,8.2271825376,7/26/19,2:40:00 PM,0,8.727,8.5135,0.28631746240000133
9,2019-07-26 14:50:00,8.2280085108,7/26/19,2:50:00 PM,0,8.725,8.5136,0.28559148919999977
10,2019-07-26 15:00:00,8.228936456,7/26/19,3:00:00 PM,0,8.722,8.5157,0.28676354400000115
11,2019-07-26 15:10:00,8.229069019599999,7/26/19,3:10:00 PM,0,8.72,8.5156,0.28653098040000025
12,2019-07-26 15:20:00,8.229701246,7/26/19,3:20:00 PM,0,8.719,8.5155,0.285798754
13,2019-07-26 15:30:00,8.2286203428,7/26/19,3:30:00 PM,0,8.718,8.5142,0.28557965720000134
14,2019-07-26 15:40:00,8.228528568,7/26/19,3:40:00 PM,0,8.717,8.5128,0.2842714320000006
15,2019-07-26 15:50:00,8.227988116399999,7/26/19,3:50:00 PM,0,8.715,8.5114,0.28341188360000125
16,2019-07-26 16:00:00,8.226468733599999,7/26/19,4:00:00 PM,0,8.714,8.5098,0.28333126640000117
17,2019-07-26 16:10:00,8.226101634399999,7/26/19,4:10:00 PM,0,8.714,8.5074,0.28129836560000143
18,2019-07-26 16:20:00,8.2262545924,7/26/19,4:20:00 PM,0,8.713,8.5055,0.2792454075999995
19,2019-07-26 16:30:00,8.2276516088,7/26/19,4:30:00 PM,0,8.713,8.504,0.2763483911999991
20,2019-07-26 16:40:00,8.226509522399999,7/26/19,4:40:00 PM,0,8.712,8.5034,0.2768904776000003
21,2019-07-26 16:50:00,8.2263667616,7/26/19,4:50:00 PM,0,8.712,8.5024,0.27603323840000016
22,2019-07-26 17:00:00,8.2265707056,7/26/19,5:00:00 PM,0,8.711,8.5019,0.27532929439999876
23,2019-07-26 17:10:00,8.2266624804,7/26/19,5:10:00 PM,0,8.712,8.5015,0.27483751960000014
24,2019-07-26 17:20:00,8.2260914372,7/26/19,5:20:00 PM,0,8.711,8.5012,0.2751085628000016
25,2019-07-26 17:30:00,8.226744058,7/26/19,5:30:00 PM,0,8.711,8.5007,0.2739559420000006
26,2019-07-26 17:40:00,8.2271927348,7/26/19,5:40:00 PM,0,8.71,8.5008,0.2736072652000008
27,2019-07-26 17:50:00,8.2286101456,7/26/19,5:50:00 PM,0,8.71,8.5023,0.2736898544000006
28,2019-07-26 18:00:00,8.228345018399999,7/26/19,6:00:00 PM,0,8.71,8.5026,0.2742549816000004
29,2019-07-26 18:10:00,8.228477582,7/26/19,6:10:00 PM,0,8.71,8.502,0.27352241800000066
30,2019-07-26 18:20:00,8.2295890768,7/26/19,6:20:00 PM,0,8.71,8.5023,0.2727109232
31,2019-07-26 18:30:00,8.230568007999999,7/26/19,6:30:00 PM,0,8.71,8.5025,0.27193199200000073
32,2019-07-26 18:40:00,8.231587728,7/26/19,6:40:00 PM,0,8.71,8.5034,0.271812272
33,2019-07-26 18:50:00,8.231842658,7/26/19,6:50:00 PM,0,8.71,8.5041,0.2722573419999996
34,2019-07-26 19:00:00,8.2322403488,7/26/19,7:00:00 PM,0,8.71,8.5048,0.2725596511999999
35,2019-07-26 19:10:00,8.233616970799998,7/26/19,7:10:00 PM,0,8.71,8.5056,0.27198302920000117
36,2019-07-26 19:20:00,8.2344225496,7/26/19,7:20:00 PM,0,8.71,8.5069,0.27247745040000027
37,2019-07-26 19:30:00,8.234667282399998,7/26/19,7:30:00 PM,0,8.71,8.5081,0.2734327176000022
38,2019-07-26 19:40:00,8.2350649732,7/26/19,7:40:00 PM,0,8.709,8.5087,0.2736350267999992
39,2019-07-26 19:50:00,8.2355340444,7/26/19,7:50:00 PM,0,8.709,8.5097,0.2741659556000009
40,2019-07-26 20:00:00,8.2359521296,7/26/19,8:00:00 PM,0,8.709,8.5102,0.2742478704
41,2019-07-26 20:10:00,8.236176468,7/26/19,8:10:00 PM,0,8.709,8.5103,0.27412353200000084
42,2019-07-26 20:20:00,8.2369106664,7/26/19,8:20:00 PM,0,8.709,8.5102,0.2732893335999993
43,2019-07-26 20:30:00,8.235788974399998,7/26/19,8:30:00 PM,0,8.709,8.5102,0.27441102560000097
44,2019-07-26 20:40:00,8.2354218752,7/26/19,8:40:00 PM,0,8.709,8.5098,0.2743781248000001
45,2019-07-26 20:50:00,8.236105087599999,7/26/19,8:50:00 PM,0,8.709,8.5099,0.2737949124000014
46,2019-07-26 21:00:00,8.2375326956,7/26/19,9:00:00 PM,0,8.709,8.5105,0.27296730439999983
47,2019-07-26 21:10:00,8.2387665568,7/26/19,9:10:00 PM,0,8.709,8.5115,0.2727334431999999
48,2019-07-26 21:20:00,8.239307008399999,7/26/19,9:20:00 PM,0,8.709,8.5124,0.27309299160000045
49,2019-07-26 21:30:00,8.2394497692,7/26/19,9:30:00 PM,0,8.709,8.5132,0.2737502307999993
50,2019-07-26 21:40:00,8.2407448136,7/26/19,9:40:00 PM,0,8.709,8.5137,0.2729551864000008
51,2019-07-26 21:50:00,8.2418970972,7/26/19,9:50:00 PM,0,8.709,8.5147,0.27280290279999875
52,2019-07-26 22:00:00,8.241652364399998,7/26/19,10:00:00 PM,0,8.709,8.5151,0.27344763560000196
53,2019-07-26 22:10:00,8.2422030132,7/26/19,10:10:00 PM,0,8.709,8.5154,0.2731969868000004
54,2019-07-26 22:20:00,8.2416727588,7/26/19,10:20:00 PM,0,8.709,8.5154,0.2737272411999996
55,2019-07-26 22:30:00,8.2414892092,7/26/19,10:30:00 PM,0,8.709,8.5153,0.2738107908000007
56,2019-07-26 22:40:00,8.2408773772,7/26/19,10:40:00 PM,0,8.71,8.5149,0.27402262280000045
57,2019-07-26 22:50:00,8.2414076316,7/26/19,10:50:00 PM,0,8.709,8.5149,0.27349236840000124
58,2019-07-26 23:00:00,8.241988871999999,7/26/19,11:00:00 PM,0,8.71,8.5154,0.2734111280000011
59,2019-07-26 23:10:00,8.242733267599998,7/26/19,11:10:00 PM,0,8.71,8.5158,0.273066732400002
60,2019-07-26 23:20:00,8.243824367999999,7/26/19,11:20:00 PM,0,8.71,8.5159,0.27207563200000173
61,2019-07-26 23:30:00,8.244303636399998,7/26/19,11:30:00 PM,0,8.71,8.5169,0.2725963636000017
62,2019-07-26 23:40:00,8.243865156799998,7/26/19,11:40:00 PM,0,8.711,8.5169,0.2730348432000014
63,2019-07-26 23:50:00,8.2445483692,7/26/19,11:50:00 PM,0,8.711,8.5172,0.27265163080000043
64,2019-07-27 00:00:00,8.2446197496,7/27/19,12:00:00 AM,0,8.711,8.5172,0.2725802504000008
65,2019-07-27 00:10:00,8.2450378348,7/27/19,12:10:00 AM,0,8.711,8.5176,0.2725621652000001
66,2019-07-27 00:20:00,8.244854285199999,7/27/19,12:20:00 AM,0,8.711,8.5179,0.2730457148000003
