



California (PST) SNOTEL Site Independence Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Tue Nov 26 21:19:33 GMT-08:00 2024. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,
541,2014-10-01,,     0.0,
541,2014-10-02,,     0.0,
541,2014-10-03,,     0.0,
541,2014-10-04,,     0.0,
541,2014-10-05,,     0.0,
541,2014-10-06,,     0.0,
541,2014-10-07,,     0.0,
541,2014-10-08,,     0.0,
541,2014-10-09,,     0.0,
541,2014-10-10,,     0.0,
541,2014-10-11,,     0.0,
541,2014-10-12,,     0.0,
541,2014-10-13,,     0.0,
541,2014-10-14,,     0.0,
541,2014-10-15,,     0.0,
541,2014-10-16,,     0.0,
541,2014-10-17,,     0.0,
541,2014-10-18,,     0.0,
541,2014-10-19,,     0.0,
541,2014-10-20,,     0.0,
541,2014-10-21,,     0.0,
541,2014-10-22,,     0.0,
541,2014-10-23,,     0.0,
541,2014-10-24,,     0.0,
541,2014-10-25,,     0.0,
541,2014-10-26,,     0.3,
541,2014-10-27,,     0.3,
541,2014-10-28,,     0.3,
541,2014-10-29,,     0.3,
541,2014-10-30,,     0.0,
541,2014-10-31,,     0.0,
541,2014-11-01,,     0.1,
541,2014-11-02,,     0.3,
541,2014-11-03,,     0.3,
541,2014-11-04,,     0.4,
541,2014-11-05,,     0.4,
541,2014-11-06,,     0.2,
541,2014-11-07,,     0.0,
541,2014-11-08,,     0.0,
541,2014-11-09,,     0.0,
541,2014-11-10,,     0.0,
541,2014-11-11,,     0.0,
541,2014-11-12,,     0.0,
541,2014-11-13,,     0.0,
541,2014-11-14,,     0.3,
541,2014-11-15,,     0.3,
541,2014-11-16,,     0.3,
541,2014-11-17,,     0.3,
541,2014-11-18,,     0.3,
541,2014-11-19,,     0.3,
541,2014-11-20,,     0.3,
541,2014-11-21,,     0.3,
541,2014-11-22,,     0.5,
541,2014-11-23,,     1.1,
541,2014-11-24,,     1.1,
541,2014-11-25,,     1.0,
541,2014-11-26,,     1.0,
541,2014-11-27,,     0.9,
541,2014-11-28,,     0.7,
541,2014-11-29,,     0.6,
541,2014-11-30,,     1.7,
541,2014-12-01,,     2.4,
541,2014-12-02,,     2.7,
541,2014-12-03,,     4.0,
541,2014-12-04,,     5.9,
541,2014-12-05,,     6.4,
541,2014-12-06,,     6.9,
541,2014-12-07,,     7.1,
541,2014-12-08,,     7.1,
541,2014-12-09,,     7.2,
541,2014-12-10,,     7.2,
541,2014-12-11,,     7.2,
541,2014-12-12,,     8.6,
541,2014-12-13,,     8.9,
541,2014-12-14,,     8.9,
541,2014-12-15,,     9.1,
541,2014-12-16,,     9.7,
541,2014-12-17,,     9.9,
541,2014-12-18,,    10.1,
541,2014-12-19,,    10.1,
541,2014-12-20,,    10.6,
541,2014-12-21,,    11.0,
541,2014-12-22,,    11.0,
541,2014-12-23,,    11.0,
541,2014-12-24,,    11.0,
541,2014-12-25,,    11.2,
541,2014-12-26,,    11.5,
541,2014-12-27,,    11.5,
541,2014-12-28,,    11.5,
541,2014-12-29,,    11.5,
541,2014-12-30,,    11.5,
541,2014-12-31,,    11.8,
541,2015-01-01,,    11.8,
541,2015-01-02,,    11.8,
541,2015-01-03,,    11.8,
541,2015-01-04,,    11.8,
541,2015-01-05,,    11.8,
541,2015-01-06,,    11.8,
541,2015-01-07,,    11.8,
541,2015-01-08,,    11.8,
541,2015-01-09,,    11.8,
541,2015-01-10,,    11.8,
541,2015-01-11,,    11.8,
541,2015-01-12,,    11.8,
541,2015-01-13,,    11.8,
541,2015-01-14,,    11.8,
541,2015-01-15,,    11.9,
541,2015-01-16,,    11.9,
541,2015-01-17,,    11.9,
541,2015-01-18,,    11.9,
541,2015-01-19,,    11.9,
541,2015-01-20,,    11.9,
541,2015-01-21,,    11.9,
541,2015-01-22,,    11.9,
541,2015-01-23,,    11.9,
541,2015-01-24,,    11.9,
541,2015-01-25,,    11.9,
541,2015-01-26,,    11.9,
541,2015-01-27,,    11.9,
541,2015-01-28,,    12.0,
541,2015-01-29,,    12.0,
541,2015-01-30,,    12.0,
541,2015-01-31,,    12.0,
541,2015-02-01,,    12.0,
541,2015-02-02,,    12.0,
541,2015-02-03,,    12.1,
541,2015-02-04,,    12.1,
541,2015-02-05,,    12.1,
541,2015-02-06,,    12.1,
541,2015-02-07,,    14.7,
541,2015-02-08,,    16.0,
541,2015-02-09,,    17.7,
541,2015-02-10,,    18.4,
541,2015-02-11,,    18.4,
541,2015-02-12,,    18.4,
541,2015-02-13,,    18.3,
541,2015-02-14,,    18.2,
541,2015-02-15,,    18.1,
541,2015-02-16,,    18.0,
541,2015-02-17,,    17.9,
541,2015-02-18,,    17.8,
541,2015-02-19,,    17.8,
541,2015-02-20,,    17.8,
541,2015-02-21,,    17.8,
541,2015-02-22,,    17.8,
