Unnamed: 0,deploy_end,deploy_start,deployment_id,deploy_year,well_id,DT,Date,Time,ms,raw_Level_m,TEMPERATURE,end_date_x,logger_no,serial_no,cut_start,cut_end,temp_threshold,notes,manual plot notes,logger plot notes,cut notes,Unnamed: 10,Unnamed: 11,end_date_y,Rate of Change
0,2018-07-25 23:59:00,2018-07-17,EEF-1_2018_0717_0725,2018,EEF-1,2018-07-17 17:00:00,7/17/2018,05:00:00 pm,0,8.2792,9.243,2018-07-25,4,2091639.0,2018-07-17 17:00:00,2018-07-25 11:10:00,0.5,"10/05/2019 notes on ""current"" logger deployment; source 2015-19 Orange p130",,,,,,2018-07-25,0.013700000000000045
1,2018-07-25 23:59:00,2018-07-17,EEF-1_2018_0717_0725,2018,EEF-1,2018-07-17 17:10:00,7/17/2018,05:10:00 pm,0,8.2781,9.106,2018-07-25,4,2091639.0,2018-07-17 17:00:00,2018-07-25 11:10:00,0.5,"10/05/2019 notes on ""current"" logger deployment; source 2015-19 Orange p130",,,,,,2018-07-25,0.009399999999999941
2,2018-07-25 23:59:00,2018-07-17,EEF-1_2018_0717_0725,2018,EEF-1,2018-07-17 17:20:00,7/17/2018,05:20:00 pm,0,8.2766,9.012,2018-07-25,4,2091639.0,2018-07-17 17:00:00,2018-07-25 11:10:00,0.5,"10/05/2019 notes on ""current"" logger deployment; source 2015-19 Orange p130",,,,,,2018-07-25,0.006500000000000128
3,2018-07-25 23:59:00,2018-07-17,EEF-1_2018_0717_0725,2018,EEF-1,2018-07-17 17:30:00,7/17/2018,05:30:00 pm,0,8.2758,8.947,2018-07-25,4,2091639.0,2018-07-17 17:00:00,2018-07-25 11:10:00,0.5,"10/05/2019 notes on ""current"" logger deployment; source 2015-19 Orange p130",,,,,,2018-07-25,0.004699999999999882
4,2018-07-25 23:59:00,2018-07-17,EEF-1_2018_0717_0725,2018,EEF-1,2018-07-17 17:40:00,7/17/2018,05:40:00 pm,0,8.2761,8.9,2018-07-25,4,2091639.0,2018-07-17 17:00:00,2018-07-25 11:10:00,0.5,"10/05/2019 notes on ""current"" logger deployment; source 2015-19 Orange p130",,,,,,2018-07-25,0.0035000000000000144
5,2018-07-25 23:59:00,2018-07-17,EEF-1_2018_0717_0725,2018,EEF-1,2018-07-17 17:50:00,7/17/2018,05:50:00 pm,0,8.2758,8.865,2018-07-25,4,2091639.0,2018-07-17 17:00:00,2018-07-25 11:10:00,0.5,"10/05/2019 notes on ""current"" logger deployment; source 2015-19 Orange p130",,,,,,2018-07-25,0.00259999999999998
6,2018-07-25 23:59:00,2018-07-17,EEF-1_2018_0717_0725,2018,EEF-1,2018-07-17 18:00:00,7/17/2018,06:00:00 pm,0,8.2751,8.839,2018-07-25,4,2091639.0,2018-07-17 17:00:00,2018-07-25 11:10:00,0.5,"10/05/2019 notes on ""current"" logger deployment; source 2015-19 Orange p130",,,,,,2018-07-25,0.0019999999999999575
7,2018-07-25 23:59:00,2018-07-17,EEF-1_2018_0717_0725,2018,EEF-1,2018-07-17 18:10:00,7/17/2018,06:10:00 pm,0,8.2749,8.819,2018-07-25,4,2091639.0,2018-07-17 17:00:00,2018-07-25 11:10:00,0.5,"10/05/2019 notes on ""current"" logger deployment; source 2015-19 Orange p130",,,,,,2018-07-25,0.0018000000000000683
8,2018-07-25 23:59:00,2018-07-17,EEF-1_2018_0717_0725,2018,EEF-1,2018-07-17 18:20:00,7/17/2018,06:20:00 pm,0,8.2754,8.801,2018-07-25,4,2091639.0,2018-07-17 17:00:00,2018-07-25 11:10:00,0.5,"10/05/2019 notes on ""current"" logger deployment; source 2015-19 Orange p130",,,,,,2018-07-25,0.00129999999999999
9,2018-07-25 23:59:00,2018-07-17,EEF-1_2018_0717_0725,2018,EEF-1,2018-07-17 18:30:00,7/17/2018,06:30:00 pm,0,8.2756,8.788,2018-07-25,4,2091639.0,2018-07-17 17:00:00,2018-07-25 11:10:00,0.5,"10/05/2019 notes on ""current"" logger deployment; source 2015-19 Orange p130",,,,,,2018-07-25,0.0009999999999999788
10,2018-07-25 23:59:00,2018-07-17,EEF-1_2018_0717_0725,2018,EEF-1,2018-07-17 18:40:00,7/17/2018,06:40:00 pm,0,8.2753,8.778,2018-07-25,4,2091639.0,2018-07-17 17:00:00,2018-07-25 11:10:00,0.5,"10/05/2019 notes on ""current"" logger deployment; source 2015-19 Orange p130",,,,,,2018-07-25,0.0008000000000000895
