deploy_end,deploy_start,deployment_id,deploy_year,well_id,DT,Date,Time,raw_Level_m,TEMPERATURE,end_date_x,cut_start,cut_end,temp_threshold,end_date_y,Rate of Change
2024-11-11 23:59:00,2024-07-14,EHR-1_2024_0714_1111,2024,EHR-1,2024-07-14 17:00:00,7/14/2024,05:00:00 pm,8.6199,10.258,2024-11-11,2024-07-14 17:00:00,2024-11-11,0.05,2024-11-11,0.0001
2024-11-11 23:59:00,2024-07-14,EHR-1_2024_0714_1111,2024,EHR-1,2024-07-14 17:10:00,7/14/2024,05:10:00 pm,8.6197,10.256,2024-11-11,2024-07-14 17:00:00,2024-11-11,0.05,2024-11-11,0.00019999999999988915
2024-11-11 23:59:00,2024-07-14,EHR-1_2024_0714_1111,2024,EHR-1,2024-07-14 17:20:00,7/14/2024,05:20:00 pm,8.619,10.255,2024-11-11,2024-07-14 17:00:00,2024-11-11,0.05,2024-11-11,9.999999999994457e-05
2024-11-11 23:59:00,2024-07-14,EHR-1_2024_0714_1111,2024,EHR-1,2024-07-14 17:30:00,7/14/2024,05:30:00 pm,8.6187,10.254,2024-11-11,2024-07-14 17:00:00,2024-11-11,0.05,2024-11-11,0.00010000000000012221
2024-11-11 23:59:00,2024-07-14,EHR-1_2024_0714_1111,2024,EHR-1,2024-07-14 17:40:00,7/14/2024,05:40:00 pm,8.6195,10.253,2024-11-11,2024-07-14 17:00:00,2024-11-11,0.05,2024-11-11,9.999999999994457e-05
2024-11-11 23:59:00,2024-07-14,EHR-1_2024_0714_1111,2024,EHR-1,2024-07-14 17:50:00,7/14/2024,05:50:00 pm,8.6211,10.252,2024-11-11,2024-07-14 17:00:00,2024-11-11,0.05,2024-11-11,9.999999999994457e-05
2024-11-11 23:59:00,2024-07-14,EHR-1_2024_0714_1111,2024,EHR-1,2024-07-14 18:00:00,7/14/2024,06:00:00 pm,8.6205,10.251,2024-11-11,2024-07-14 17:00:00,2024-11-11,0.05,2024-11-11,0.00010000000000012221
2024-11-11 23:59:00,2024-07-14,EHR-1_2024_0714_1111,2024,EHR-1,2024-07-14 18:10:00,7/14/2024,06:10:00 pm,8.62,10.251,2024-11-11,2024-07-14 17:00:00,2024-11-11,0.05,2024-11-11,0.0
2024-11-11 23:59:00,2024-07-14,EHR-1_2024_0714_1111,2024,EHR-1,2024-07-14 18:20:00,7/14/2024,06:20:00 pm,8.6191,10.25,2024-11-11,2024-07-14 17:00:00,2024-11-11,0.05,2024-11-11,9.999999999994457e-05
2024-11-11 23:59:00,2024-07-14,EHR-1_2024_0714_1111,2024,EHR-1,2024-07-14 18:30:00,7/14/2024,06:30:00 pm,8.6188,10.25,2024-11-11,2024-07-14 17:00:00,2024-11-11,0.05,2024-11-11,0.0
