deploy_end,deploy_start,deployment_id,deploy_year,well_id,DT,Date,Time,raw_Level_m,TEMPERATURE,end_date_x,cut_start,cut_end,temp_threshold,end_date_y,Rate of Change
2018-08-24 23:59:00,2018-07-27,EEF-1_2018_0727_0824,2018,EEF-1,2018-08-04 10:00:00,8/4/18,10:00:00 AM,8.9909,11.896,2018-08-24,2018-07-27 15:00:00,2018-08-24 06:00:00,0.01,2018-08-24,0.0
2018-08-24 23:59:00,2018-07-27,EEF-1_2018_0727_0824,2018,EEF-1,2018-08-04 10:10:00,8/4/18,10:10:00 AM,8.9908,11.897,2018-08-24,2018-07-27 15:00:00,2018-08-24 06:00:00,0.01,2018-08-24,9.999999999994457e-05
2018-08-24 23:59:00,2018-07-27,EEF-1_2018_0727_0824,2018,EEF-1,2018-08-04 10:20:00,8/4/18,10:20:00 AM,8.9914,11.898,2018-08-24,2018-07-27 15:00:00,2018-08-24 06:00:00,0.01,2018-08-24,9.999999999994457e-05
2018-08-24 23:59:00,2018-07-27,EEF-1_2018_0727_0824,2018,EEF-1,2018-08-04 10:30:00,8/4/18,10:30:00 AM,8.9914,11.899,2018-08-24,2018-07-27 15:00:00,2018-08-24 06:00:00,0.01,2018-08-24,9.999999999994457e-05
2018-08-24 23:59:00,2018-07-27,EEF-1_2018_0727_0824,2018,EEF-1,2018-08-04 10:40:00,8/4/18,10:40:00 AM,8.9914,11.9,2018-08-24,2018-07-27 15:00:00,2018-08-24 06:00:00,0.01,2018-08-24,0.00010000000000012221
2018-08-24 23:59:00,2018-07-27,EEF-1_2018_0727_0824,2018,EEF-1,2018-08-04 10:50:00,8/4/18,10:50:00 AM,8.9911,11.9,2018-08-24,2018-07-27 15:00:00,2018-08-24 06:00:00,0.01,2018-08-24,0.0
2018-08-24 23:59:00,2018-07-27,EEF-1_2018_0727_0824,2018,EEF-1,2018-08-04 11:00:00,8/4/18,11:00:00 AM,8.9921,11.901,2018-08-24,2018-07-27 15:00:00,2018-08-24 06:00:00,0.01,2018-08-24,9.999999999994457e-05
2018-08-24 23:59:00,2018-07-27,EEF-1_2018_0727_0824,2018,EEF-1,2018-08-04 11:10:00,8/4/18,11:10:00 AM,8.9922,11.901,2018-08-24,2018-07-27 15:00:00,2018-08-24 06:00:00,0.01,2018-08-24,0.0
2018-08-24 23:59:00,2018-07-27,EEF-1_2018_0727_0824,2018,EEF-1,2018-08-04 11:20:00,8/4/18,11:20:00 AM,8.9923,11.902,2018-08-24,2018-07-27 15:00:00,2018-08-24 06:00:00,0.01,2018-08-24,9.999999999994457e-05
2018-08-24 23:59:00,2018-07-27,EEF-1_2018_0727_0824,2018,EEF-1,2018-08-04 11:30:00,8/4/18,11:30:00 AM,8.993,11.902,2018-08-24,2018-07-27 15:00:00,2018-08-24 06:00:00,0.01,2018-08-24,0.0
