well_id,valid,effective_timestamp,measure_timestamp,welltop_to_ground_cm,welltop_to_ground_needavg_cm,total_well_length_cm,well_depth_cm,ground_elevation_m,welltop_elevation_m,meter_id_dimension,color,PFT,PFT certainty,HGMZ,HGMZ certainty,notes,temp?
EEF-1,TRUE,5/30/18 9:00,6/1/18 7:45,59.383,,154.4,95.02,,,,white,E,,F,,,
EEF-1,TRUE,5/1/24 9:00,10/6/24 0:00,60.225,,154.025,93.8,,,,white,,,,,,
EER-1,TRUE,5/31/18 8:40,5/31/18 8:40,78.45627,,155,76.54,,,nm,white,,,,,,
EER-1,TRUE,5/1/24 9:00,10/6/24 12:00,80.9,,156.2,75.3,,,,,E,high,R,high,,
EET-1,TRUE,5/31/18 12:00,6/1/18 7:56,59.39,,149.15,89.76,,,nm,white,E,high,T,high,averaged with 2020 measurements,
EET-1,TRUE,5/1/24 9:00,6/15/24 0:00,60.0625,,147,86.94,,,,white,,,,,,
EET-2,FALSE,7/16/21 8:45,7/16/21 8:45,12.825,,,,,,,white,,,,,new well installed on 07/05/2019 (orange p71); ignore because no well depth,
EET-2,TRUE,7/5/19 12:00,6/15/24 0:00,13.85,,154.7,140.85,,,,white,E,med-high,T,med-low,,
EER-XB4S,TRUE,5/30/18 9:00,7/16/18 9:11,102.3,,155.5,53.2,,,,black,E,,R,low,from 11/09/2024: kind of on edge between terrace and riparian but it's downslope from B5S terrace; interesting to analyze topo from LiDAR; changed well length and depth from 146.5 and 44.2 based on reading on 07/20/2021 with total well depth at 155.5 cm with mud on sensor. ,
EER-XB4S,TRUE,5/1/24 9:00,10/6/24 12:00,103.375,,152,48.63,,,,black,,,,,,
EWF-XA1N,FALSE,5/30/18 9:00,11/28/23 0:00,99.325,,,,,,,black,W,med-high,F,,"ignoring because no well length; surrounded by sedge and willow, nearest pine is >4m away; wrong PFT?",
EWF-XA1N,TRUE,5/30/18 9:00,10/6/24 12:00,101,,101,53,,,,black,W,high,R,high,no pines nearby. 1 cm of mud at bottom.,
EFF-XA2N,FALSE,5/30/18 9:00,5/31/18 8:55,44.5241,,,-44.52,,,,black,,,,,"well never replaced; no well height, so not using this data",
EFF-XA2N,TRUE,5/30/18 9:00,10/6/24 12:00,41.625,,153,111.38,,,,black,F,high,R,med-high,"back channel, big material in a bar farther from creek but doesn't seem deposited any time recently.",
EHF-XB7S,TRUE,5/30/18 9:00,8/7/20 12:00,50.65,,153.13,102.48,,,,black,H,high,F,medium,"from 11/09/2024: MH and probably terrace, not currrently in pine canopy, but small pines close just no canopy over well",
EHF-XB7S,TRUE,5/1/24 9:00,10/6/24 12:00,53.025,,152.8,99.78,,,,black,,,,,,
EFR-XB1S,TRUE,5/30/18 9:00,6/1/18 7:40,90.896,,153.2,62.3,,,,black,F,high,R,high,confirmed 11/09/2024: F+R,
EFR-XB1S,TRUE,5/1/24 9:00,10/6/24 12:00,93.525,,153.8,60.28,,,,black,,,,,"crooked; seemed to have moved since 2018, so this seems like valid data",
EHR-XB2N,TRUE,5/30/18 9:00,7/16/18 9:19,34.25,,156.3,122.05,,,,black,,,,,,
EHR-XB2N,TRUE,5/1/24 9:00,10/6/24 12:00,36.7,,156.3,119.6,,,,black,H,high,R,medium,"5 cm of mud at bottom, a little rise between B2N and B3N; From 11/092/2024: confirmed MH at well, no pines. Probably riparian, maybe terrace due to slight rise between B2N and B3N",
EFR-XB2S,FALSE,5/30/18 9:00,7/16/18 7:57,,,116,116,,,,black,F,high,R,high,confirmed 11/09/2024: F+R,
EFR-XB2S,FALSE,5/1/19 9:00,7/6/19 9:19,,,116.65,116.65,,,,black,,,,,,
EFR-XB2S,TRUE,5/30/18 9:00,8/7/20 0:00,97.1,,153.3667,56.27,,,,black,,,,,unclear if valid for before 2020; I have no record of replacing B2S; why is well length so different from 2019? replaced by others?,
EFR-XB2S,TRUE,5/1/24 9:00,10/6/24 12:00,100.625,,153.5,52.88,,,,black,,,,,,
EFR-XB3S,TRUE,5/30/18 9:00,8/7/20 12:00,86.35,,152.833,66.48,,,,black,,,,,,
EFR-XB3S,TRUE,5/1/24 9:00,10/6/24 12:00,87.575,,152.8,65.23,,,,black,F,high,R,high,confirmed 11/09/2024: F+R,
EHT-XB6S,TRUE,5/30/18 9:00,8/7/20 12:00,21.35,,152.7,131.35,,,,black,H,high,T,high,"from 10/20/2024: MH, no pine canopy covering well, closest pine is 0.95 m away (trunk is ~10cm and trunk is 2.75 m away); otherwise dead pines on ground",
EHT-XB6S,TRUE,5/1/24 9:00,10/6/24 12:00,22.25,,152.3,130.05,,,,black,,,,,,
EFT-XC3S,TRUE,5/1/24 9:00,10/6/24 12:00,53.05,,152.8,99.75,,,,black,F,high,T,high,"from 11/09/2024: in canopy of two pine trees (one alive, one dead), otherwise MH; on a terrace that butts up against the creek, looks like a big drop to the creek such that there's no floodplain on this side of the creek.",
EFT-XC4S,TRUE,5/1/24 9:00,10/6/24 12:00,59.125,,147.8,88.68,,,,black,F,high,T,high,"from 11/09/2024: def pine, def terrace (same one as C3S)",
EEF-XA3S,TRUE,5/30/18 9:00,6/1/18 6:40,65.656,,155,89.34,,,,black,,,,,changed from 132.8 total length and 67.14 depth based on readings in 2018 and 2021 that were  77 and 86 cm deep.,
EEF-XA3S,FALSE,7/16/21 12:00,7/19/21 12:00,59.65,,,-59.65,,,,white,,,,,"ignore, no well depth",
EEF-XA3S,TRUE,7/16/21 12:00,10/6/24 12:00,59.53125,,155,95.47,,,,white,E,med-high,F,med-high,"new well installed 07/16/2021 (Yellow p77) could only get to 97 cm deep, hit rock; first measrement on 07/04/2021 (no water); needs backfill badly; 1.5 in PVC",
EHR-1,FALSE,5/30/18 9:00,5/31/18 8:30,54.789,,,-54.79,,,,white,,,,,"ignore, no well depth",
EHR-1,TRUE,5/30/18 9:00,10/6/24 12:00,54.725,,154.4,99.68,,,,white,H,high,R,high,,
EHR-XB1N,TRUE,5/30/18 9:00,7/16/18 9:16,74.65,,155.4,80.75,,,,black,,,,,"well inherited from Allen-Diaz, not replaced by me",
EHR-XB1N,FALSE,5/1/19 9:00,7/6/19 9:24,74.65,,155.4,80.75,,,,black,,,,,"duplicate, leave out",
EHR-XB1N,TRUE,5/1/24 9:00,10/6/24 12:00,76.475,,155.2,78.73,,,,black,H,high,R,high,"well not replaced, but leaving this for now even though different from 2018 readings.",
EHT-XA5S,TRUE,5/30/18 9:00,6/1/18 6:43,38.3375,,145.3333333,107,,,,black,,,,,initial well inherited from Allen-Diaz,
EHT-XA5S,TRUE,7/16/21 5:00,7/16/21 12:00,27.31875,,154.5,127.18,,,,white,H,high,T,medium,"new well, replaced on 07/15/2021 (yellow p74)",
EHT-XA5S,FALSE,5/1/24 9:00,10/6/24 12:00,27.75,,,-27.75,,,,white,H,high,T,medium,combined with 07/16/2021 measurement for a complete record,
EHT-XB5S,FALSE,5/30/18 9:00,6/1/18 7:41,,,152.95,152.95,,,,black,,,,,"no welltop to ground, not using; well depth consistent with others",
EHT-XB5S,TRUE,5/30/18 9:00,8/7/20 0:00,22.65,,153.667,131.02,,,,black,,,,,,
EHT-XB5S,TRUE,5/1/24 9:00,10/6/24 12:00,22.85,,153.2,130.35,,,,black,,,,,,
EHT-XC5S,TRUE,5/30/18 9:00,10/6/24 12:00,32.525,,152.7,120.18,,,,black,H,high,T,high,mud at bottom,
EHT-XC6S,TRUE,5/30/18 9:00,6/1/18 8:00,33.9725,,152.0825,118.11,,,,black,,,,,,
EHT-XC6S,TRUE,5/1/24 9:00,10/6/24 12:00,32.775,,153,120.23,,,,black,H,high,T,high,"""like a desert up here"", also a patch of sedge between C5S and C6S at transition between bare ground and any veg (oddly), took a photo",
EFF-XA2S,TRUE,5/30/18 9:00,6/1/18 6:24,95.0645,,153.6,58.355,,,,black,,,,,changed well depth from 149.533 to 153.6 based on reading on 06/20/201,
