,well_id,Date,Time,ms,DT,raw_LEVEL_m,TEMPERATURE,Rate of Change
0,EEF-1,7/14/2024,05:00:00 pm,0,2024-07-14 17:00:00,8.337,11.171,0.00039999999999995595
1,EEF-1,7/14/2024,05:10:00 pm,0,2024-07-14 17:10:00,8.3363,11.167,9.999999999994457e-05
2,EEF-1,7/14/2024,05:20:00 pm,0,2024-07-14 17:20:00,8.3357,11.168,0.00019999999999988915
3,EEF-1,7/14/2024,05:30:00 pm,0,2024-07-14 17:30:00,8.3351,11.166,0.0002000000000000668
4,EEF-1,7/14/2024,05:40:00 pm,0,2024-07-14 17:40:00,8.336,11.164,9.999999999994457e-05
5,EEF-1,7/14/2024,05:50:00 pm,0,2024-07-14 17:50:00,8.3372,11.163,9.999999999994457e-05
6,EEF-1,7/14/2024,06:00:00 pm,0,2024-07-14 18:00:00,8.337,11.162,9.999999999994457e-05
7,EEF-1,7/14/2024,06:10:00 pm,0,2024-07-14 18:10:00,8.3364,11.163,0.0002000000000000668
8,EEF-1,7/14/2024,06:20:00 pm,0,2024-07-14 18:20:00,8.3362,11.161,0.00010000000000012221
9,EEF-1,7/14/2024,06:30:00 pm,0,2024-07-14 18:30:00,8.3358,11.162,0.0002000000000000668
10,EEF-1,7/14/2024,06:40:00 pm,0,2024-07-14 18:40:00,8.3359,11.16,0.0002000000000000668
11,EEF-1,7/14/2024,06:50:00 pm,0,2024-07-14 18:50:00,8.3362,11.158,0.0
12,EEF-1,7/14/2024,07:00:00 pm,0,2024-07-14 19:00:00,8.3353,11.158,0.0
13,EEF-1,7/14/2024,07:10:00 pm,0,2024-07-14 19:10:00,8.3345,11.158,0.00019999999999988915
14,EEF-1,7/14/2024,07:20:00 pm,0,2024-07-14 19:20:00,8.3352,11.156,0.0
15,EEF-1,7/14/2024,07:30:00 pm,0,2024-07-14 19:30:00,8.3362,11.156,0.00010000000000012221
16,EEF-1,7/14/2024,07:40:00 pm,0,2024-07-14 19:40:00,8.3363,11.155,0.0002000000000000668
17,EEF-1,7/14/2024,07:50:00 pm,0,2024-07-14 19:50:00,8.3366,11.157,9.999999999994457e-05
18,EEF-1,7/14/2024,08:00:00 pm,0,2024-07-14 20:00:00,8.3353,11.156,0.00030000000000001136
19,EEF-1,7/14/2024,08:10:00 pm,0,2024-07-14 20:10:00,8.3357,11.153,0.00030000000000001136
20,EEF-1,7/14/2024,08:20:00 pm,0,2024-07-14 20:20:00,8.3365,11.156,0.00030000000000001136
21,EEF-1,7/14/2024,08:30:00 pm,0,2024-07-14 20:30:00,8.3369,11.153,0.0
22,EEF-1,7/14/2024,08:40:00 pm,0,2024-07-14 20:40:00,8.3379,11.153,0.00010000000000012221
23,EEF-1,7/14/2024,08:50:00 pm,0,2024-07-14 20:50:00,8.339,11.152,9.999999999994457e-05
24,EEF-1,7/14/2024,09:00:00 pm,0,2024-07-14 21:00:00,8.3404,11.151,0.0
25,EEF-1,7/14/2024,09:10:00 pm,0,2024-07-14 21:10:00,8.3415,11.151,9.999999999994457e-05
26,EEF-1,7/14/2024,09:20:00 pm,0,2024-07-14 21:20:00,8.3424,11.15,9.999999999994457e-05
27,EEF-1,7/14/2024,09:30:00 pm,0,2024-07-14 21:30:00,8.3437,11.151,9.999999999994457e-05
28,EEF-1,7/14/2024,09:40:00 pm,0,2024-07-14 21:40:00,8.3445,11.152,0.00019999999999988915
29,EEF-1,7/14/2024,09:50:00 pm,0,2024-07-14 21:50:00,8.3458,11.15,0.0
30,EEF-1,7/14/2024,10:00:00 pm,0,2024-07-14 22:00:00,8.3464,11.15,9.999999999994457e-05
31,EEF-1,7/14/2024,10:10:00 pm,0,2024-07-14 22:10:00,8.3474,11.151,9.999999999994457e-05
32,EEF-1,7/14/2024,10:20:00 pm,0,2024-07-14 22:20:00,8.3482,11.15,0.00019999999999988915
33,EEF-1,7/14/2024,10:30:00 pm,0,2024-07-14 22:30:00,8.349,11.152,0.00010000000000012221
34,EEF-1,7/14/2024,10:40:00 pm,0,2024-07-14 22:40:00,8.3495,11.153,0.0
35,EEF-1,7/14/2024,10:50:00 pm,0,2024-07-14 22:50:00,8.3497,11.153,9.999999999994457e-05
36,EEF-1,7/14/2024,11:00:00 pm,0,2024-07-14 23:00:00,8.35,11.154,9.999999999994457e-05
37,EEF-1,7/14/2024,11:10:00 pm,0,2024-07-14 23:10:00,8.3504,11.153,9.999999999994457e-05
38,EEF-1,7/14/2024,11:20:00 pm,0,2024-07-14 23:20:00,8.3511,11.154,9.999999999994457e-05
39,EEF-1,7/14/2024,11:30:00 pm,0,2024-07-14 23:30:00,8.3517,11.153,0.00010000000000012221
40,EEF-1,7/14/2024,11:40:00 pm,0,2024-07-14 23:40:00,8.3517,11.152,0.0002000000000000668
41,EEF-1,7/14/2024,11:50:00 pm,0,2024-07-14 23:50:00,8.3522,11.154,0.0002000000000000668
42,EEF-1,7/15/2024,12:00:00 am,0,2024-07-15 00:00:00,8.3524,11.156,0.0
43,EEF-1,7/15/2024,12:10:00 am,0,2024-07-15 00:10:00,8.3525,11.156,9.999999999994457e-05
44,EEF-1,7/15/2024,12:20:00 am,0,2024-07-15 00:20:00,8.3526,11.157,0.0002000000000000668
45,EEF-1,7/15/2024,12:30:00 am,0,2024-07-15 00:30:00,8.3529,11.155,0.00010000000000012221
46,EEF-1,7/15/2024,12:40:00 am,0,2024-07-15 00:40:00,8.3531,11.156,9.999999999994457e-05
47,EEF-1,7/15/2024,12:50:00 am,0,2024-07-15 00:50:00,8.3533,11.157,0.0
48,EEF-1,7/15/2024,01:00:00 am,0,2024-07-15 01:00:00,8.3528,11.157,9.999999999994457e-05
49,EEF-1,7/15/2024,01:10:00 am,0,2024-07-15 01:10:00,8.3526,11.156,0.00010000000000012221
50,EEF-1,7/15/2024,01:20:00 am,0,2024-07-15 01:20:00,8.3526,11.155,0.0
51,EEF-1,7/15/2024,01:30:00 am,0,2024-07-15 01:30:00,8.3527,11.155,0.00010000000000012221
52,EEF-1,7/15/2024,01:40:00 am,0,2024-07-15 01:40:00,8.3526,11.156,0.0
53,EEF-1,7/15/2024,01:50:00 am,0,2024-07-15 01:50:00,8.352,11.156,0.00019999999999988915
54,EEF-1,7/15/2024,02:00:00 am,0,2024-07-15 02:00:00,8.3516,11.158,0.00010000000000012221
55,EEF-1,7/15/2024,02:10:00 am,0,2024-07-15 02:10:00,8.3511,11.159,0.00010000000000012221
56,EEF-1,7/15/2024,02:20:00 am,0,2024-07-15 02:20:00,8.3511,11.158,0.0002000000000000668
57,EEF-1,7/15/2024,02:30:00 am,0,2024-07-15 02:30:00,8.3502,11.16,0.00030000000000001136
58,EEF-1,7/15/2024,02:40:00 am,0,2024-07-15 02:40:00,8.3498,11.157,9.999999999994457e-05
59,EEF-1,7/15/2024,02:50:00 am,0,2024-07-15 02:50:00,8.3492,11.158,0.00010000000000012221
60,EEF-1,7/15/2024,03:00:00 am,0,2024-07-15 03:00:00,8.3486,11.159,0.00010000000000012221
61,EEF-1,7/15/2024,03:10:00 am,0,2024-07-15 03:10:00,8.3487,11.158,0.0002000000000000668
62,EEF-1,7/15/2024,03:20:00 am,0,2024-07-15 03:20:00,8.3494,11.16,0.0
63,EEF-1,7/15/2024,03:30:00 am,0,2024-07-15 03:30:00,8.3496,11.16,0.0002000000000000668
64,EEF-1,7/15/2024,03:40:00 am,0,2024-07-15 03:40:00,8.3497,11.162,0.00010000000000012221
65,EEF-1,7/15/2024,03:50:00 am,0,2024-07-15 03:50:00,8.3493,11.161,0.0002000000000000668
66,EEF-1,7/15/2024,04:00:00 am,0,2024-07-15 04:00:00,8.3489,11.163,9.999999999994457e-05
67,EEF-1,7/15/2024,04:10:00 am,0,2024-07-15 04:10:00,8.3504,11.162,9.999999999994457e-05
68,EEF-1,7/15/2024,04:20:00 am,0,2024-07-15 04:20:00,8.3499,11.163,0.0
69,EEF-1,7/15/2024,04:30:00 am,0,2024-07-15 04:30:00,8.3494,11.163,0.0
70,EEF-1,7/15/2024,04:40:00 am,0,2024-07-15 04:40:00,8.3496,11.163,0.00030000000000001136
71,EEF-1,7/15/2024,04:50:00 am,0,2024-07-15 04:50:00,8.3508,11.166,0.0002000000000000668
72,EEF-1,7/15/2024,05:00:00 am,0,2024-07-15 05:00:00,8.351,11.164,9.999999999994457e-05
73,EEF-1,7/15/2024,05:10:00 am,0,2024-07-15 05:10:00,8.3503,11.165,0.00010000000000012221
74,EEF-1,7/15/2024,05:20:00 am,0,2024-07-15 05:20:00,8.3494,11.166,0.0
75,EEF-1,7/15/2024,05:30:00 am,0,2024-07-15 05:30:00,8.3498,11.166,9.999999999994457e-05
76,EEF-1,7/15/2024,05:40:00 am,0,2024-07-15 05:40:00,8.3505,11.167,9.999999999994457e-05
77,EEF-1,7/15/2024,05:50:00 am,0,2024-07-15 05:50:00,8.3499,11.166,0.00019999999999988915
78,EEF-1,7/15/2024,06:00:00 am,0,2024-07-15 06:00:00,8.3508,11.168,0.0
79,EEF-1,7/15/2024,06:10:00 am,0,2024-07-15 06:10:00,8.3519,11.168,9.999999999994457e-05
80,EEF-1,7/15/2024,06:20:00 am,0,2024-07-15 06:20:00,8.3543,11.167,9.999999999994457e-05
81,EEF-1,7/15/2024,06:30:00 am,0,2024-07-15 06:30:00,8.3551,11.168,0.00019999999999988915
82,EEF-1,7/15/2024,06:40:00 am,0,2024-07-15 06:40:00,8.3554,11.166,0.00030000000000001136
