,well_id,Date,Time,ms,DT,raw_LEVEL_m,TEMPERATURE,Rate of Change
46,LWT-1,6/2/2024,09:40:00 pm,0,2024-06-02 21:40:00,8.8907,6.364,9.999999999994457e-05
47,LWT-1,6/2/2024,09:50:00 pm,0,2024-06-02 21:50:00,8.8914,6.363,0.0001000000000000334
48,LWT-1,6/2/2024,10:00:00 pm,0,2024-06-02 22:00:00,8.8926,6.362,0.0001000000000000334
49,LWT-1,6/2/2024,10:10:00 pm,0,2024-06-02 22:10:00,8.8936,6.361,9.999999999994457e-05
50,LWT-1,6/2/2024,10:20:00 pm,0,2024-06-02 22:20:00,8.8942,6.36,0.0001000000000000334
51,LWT-1,6/2/2024,10:30:00 pm,0,2024-06-02 22:30:00,8.8941,6.359,0.0001000000000000334
52,LWT-1,6/2/2024,10:40:00 pm,0,2024-06-02 22:40:00,8.8946,6.358,9.999999999994457e-05
53,LWT-1,6/2/2024,10:50:00 pm,0,2024-06-02 22:50:00,8.8935,6.357,0.0
54,LWT-1,6/2/2024,11:00:00 pm,0,2024-06-02 23:00:00,8.8934,6.357,0.0001000000000000334
55,LWT-1,6/2/2024,11:10:00 pm,0,2024-06-02 23:10:00,8.8942,6.356,9.999999999994457e-05
56,LWT-1,6/2/2024,11:20:00 pm,0,2024-06-02 23:20:00,8.8945,6.355,0.0
57,LWT-1,6/2/2024,11:30:00 pm,0,2024-06-02 23:30:00,8.8949,6.355,0.0
58,LWT-1,6/2/2024,11:40:00 pm,0,2024-06-02 23:40:00,8.8946,6.355,0.0001000000000000334
59,LWT-1,6/2/2024,11:50:00 pm,0,2024-06-02 23:50:00,8.8941,6.354,0.0001000000000000334
60,LWT-1,6/3/2024,12:00:00 am,0,2024-06-03 00:00:00,8.8934,6.355,0.0001000000000000334
61,LWT-1,6/3/2024,12:10:00 am,0,2024-06-03 00:10:00,8.8924,6.354,0.0
62,LWT-1,6/3/2024,12:20:00 am,0,2024-06-03 00:20:00,8.8922,6.354,0.0
63,LWT-1,6/3/2024,12:30:00 am,0,2024-06-03 00:30:00,8.8901,6.354,0.0
64,LWT-1,6/3/2024,12:40:00 am,0,2024-06-03 00:40:00,8.8892,6.354,0.0001000000000000334
65,LWT-1,6/3/2024,12:50:00 am,0,2024-06-03 00:50:00,8.8869,6.353,0.0
66,LWT-1,6/3/2024,01:00:00 am,0,2024-06-03 01:00:00,8.886,6.353,0.0
67,LWT-1,6/3/2024,01:10:00 am,0,2024-06-03 01:10:00,8.8856,6.353,0.0
68,LWT-1,6/3/2024,01:20:00 am,0,2024-06-03 01:20:00,8.8844,6.353,0.0
69,LWT-1,6/3/2024,01:30:00 am,0,2024-06-03 01:30:00,8.8847,6.353,0.0
70,LWT-1,6/3/2024,01:40:00 am,0,2024-06-03 01:40:00,8.8842,6.353,0.0
